,AGS,longitude,latitude
0,01001,"9,43751","54,78252"
1,01002,"10,13727","54,321775"
2,01003,"10,683932","53,866269"
3,01004,"9,988422","54,069895"
4,01051,"9,13735","53,896932"
5,01053,"10,371785","53,433626"
6,01054,"9,087943","54,37346"
7,01056,"9,836865","53,762926"
8,03351,"10,104402","52,556183"
9,03352,"8,69747","53,864463"
10,03359,"9,599388","53,379351"
11,06532,"8,576619","50,520464"
12,06533,"8,122274","50,456832"
13,07331,"8,002618","49,729069"
14,07334,"8,284042","49,190542"
15,01055,"10,573059","54,011094"
16,01057,"10,341108","54,151075"
17,01058,"10,120656","54,402998"
18,01059,"9,931158","54,659144"
19,01060,"9,882266","53,918819"
20,01061,"9,423724","53,787808"
21,01062,"10,239705","53,67575"
22,02000,"9,99697","53,550678"
23,03101,"10,520525","52,26249"
24,03102,"10,328465","52,160601"
25,03103,"10,784975","52,421938"
26,03151,"10,54687","52,484369"
27,03153,"10,560048","51,880275"
28,03154,"10,816117","52,252332"
29,03155,"10,024463","51,870567"
30,03157,"10,263529","52,38746"
31,03158,"10,65512","52,248443"
32,03159,"9,756785","51,580221"
33,03241,"9,738084","52,374551"
34,03251,"8,725552","52,847957"
35,03252,"9,261633","52,046638"
36,03254,"9,825738","51,987221"
37,03255,"9,798914","51,942963"
38,03256,"9,211648","52,640859"
39,03257,"9,232853","52,234338"
40,03353,"9,881469","53,329257"
41,03354,"11,46141","53,025263"
42,03355,"10,443754","53,287818"
43,03356,"8,983753","53,180531"
44,03357,"9,146245","53,485106"
45,03358,"9,996078","53,082077"
46,03360,"10,491733","53,141716"
47,03361,"9,033031","53,01301"
48,03401,"8,630108","53,049883"
49,03402,"7,205946","53,370558"
50,03403,"8,212993","53,140025"
51,03404,"8,04205","52,27692"
52,03405,"8,111156","53,520302"
53,03451,"7,80595","53,218179"
54,03452,"7,482377","53,469895"
55,03453,"7,745157","53,168704"
56,03454,"7,292613","52,392739"
57,03455,"7,900312","53,575606"
58,03456,"7,159614","52,302515"
59,03457,"6,664597","53,588001"
60,03458,"8,381562","52,93637"
61,03459,"8,343951","52,319617"
62,03460,"8,19402","52,742467"
63,03461,"8,477527","53,184901"
64,03462,"7,837696","53,45565"
65,04011,"8,809338","53,075606"
66,04012,"8,578068","53,543032"
67,05111,"6,780068","51,22422"
68,05112,"6,765477","51,433259"
69,05113,"7,012583","51,455843"
70,05114,"6,56089","51,332637"
71,05116,"6,43161","51,194473"
72,05117,"6,88505","51,428107"
73,05119,"6,852291","51,470317"
74,05120,"7,194356","51,179878"
75,05122,"7,085665","51,171718"
76,05124,"7,195874","51,271288"
77,05154,"6,184726","51,76241"
78,05158,"6,913114","51,218566"
79,05162,"6,841963","51,093432"
80,05166,"6,185264","51,242067"
81,05170,"6,511241","51,575134"
82,05314,"7,099187","50,734245"
83,05315,"6,957068","50,938107"
84,05316,"6,979767","51,03245"
85,05334,"6,0848","50,773516"
86,05358,"6,281953","50,895696"
87,05362,"6,575238","50,994862"
88,05366,"6,765111","50,556858"
89,05370,"6,314104","51,078671"
90,05374,"7,648337","51,021118"
91,05378,"7,130608","50,992244"
92,05382,"7,013472","50,736995"
93,05512,"6,929939","51,523694"
94,05513,"7,096064","51,510892"
95,05515,"7,626804","51,961908"
96,05554,"7,005037","52,076104"
97,05558,"7,624004","51,79173"
98,05562,"7,310925","51,553877"
99,05566,"7,465557","52,045876"
100,05570,"7,889882","51,762985"
101,05711,"8,53212","52,020578"
102,05754,"8,300771","52,101931"
103,05758,"8,58371","52,197547"
104,05762,"9,017025","51,736124"
105,05766,"8,74464","51,909123"
106,05770,"8,805514","52,205258"
107,05774,"8,944689","51,760981"
108,05911,"7,217177","51,482699"
109,05913,"7,464165","51,514171"
110,05914,"7,467406","51,360171"
111,05915,"7,816947","51,678312"
112,05916,"7,222793","51,540365"
113,05954,"7,46522","51,261435"
114,05958,"8,064801","51,395795"
115,05962,"7,67459","51,298662"
116,05966,"7,905217","51,125217"
117,05970,"8,392854","51,049858"
118,05974,"8,327462","51,561271"
119,05978,"7,643344","51,615888"
120,06411,"8,6566","49,873211"
121,06412,"8,682433","50,11088"
122,06413,"8,764442","50,105567"
123,06414,"8,239138","50,081698"
124,06431,"8,786237","49,544051"
125,06432,"8,61793","49,739626"
126,06433,"8,464971","49,779852"
127,06434,"8,61299","50,228406"
128,06435,"9,348206","50,227786"
129,06436,"8,5018","50,143796"
130,06437,"9,005106","49,743868"
131,06438,"8,781779","50,008939"
132,06439,"8,076766","50,24602"
133,06440,"8,945024","50,285831"
134,06531,"8,822706","50,677251"
135,06534,"8,924741","50,796985"
136,06535,"9,271415","50,751031"
137,06611,"9,495199","51,314684"
138,06631,"9,509294","50,623014"
139,06632,"9,66857","51,024756"
140,06633,"9,393523","51,366434"
141,06634,"9,287087","51,046041"
142,06635,"8,670062","51,026336"
143,06636,"9,980802","51,272411"
144,07111,"7,597956","50,359516"
145,07131,"7,120457","50,545218"
146,07132,"7,629577","50,674395"
147,07133,"7,861839","49,844515"
148,07134,"7,312126","49,713356"
149,07135,"7,241189","50,110347"
150,07137,"7,398566","50,439583"
151,07138,"7,459692","50,429018"
152,07140,"7,590758","50,231624"
153,07141,"7,607337","50,300468"
154,07143,"7,950685","50,651469"
155,07211,"6,638021","49,757603"
156,07231,"6,889134","49,98627"
157,07232,"6,524756","49,975769"
158,07233,"6,753342","50,252694"
159,07235,"6,890462","49,75249"
160,07311,"8,354282","49,535556"
161,07312,"7,768864","49,445456"
162,07313,"8,112414","49,196595"
163,07314,"8,447899","49,483235"
164,07315,"8,271855","50,001959"
165,07316,"8,140755","49,351983"
166,07317,"7,60822","49,19741"
167,07318,"8,436572","49,316172"
168,07319,"8,361704","49,629828"
169,07320,"7,363114","49,249189"
170,07332,"8,169191","49,460397"
171,07333,"7,8152","49,724272"
172,07335,"7,46112","49,387344"
173,07336,"7,647541","49,669273"
174,07337,"8,028507","49,219042"
175,07338,"8,364735","49,578035"
176,07339,"7,895132","49,96663"
177,08136,"9,689403","48,797029"
178,08215,"8,470789","49,063748"
179,08415,"9,3727","48,348388"
