,Country Name,ISO3,Year,Population
0,Arab World,ARB,2018,419790588
1,Caribbean small states,CSS,2018,7358965
2,Central Europe and the Baltics,CEB,2018,102511922
3,Early-demographic dividend,EAR,2018,3249140605
4,East Asia & Pacific,EAS,2018,2328220870
5,East Asia & Pacific (excluding high income),EAP,2018,2081651801
6,East Asia & Pacific (IDA & IBRD countries),TEA,2018,2056064424
7,Euro area,EMU,2018,341783171
8,Europe & Central Asia,ECS,2018,918793590
9,Europe & Central Asia (excluding high income),ECA,2018,417797257
10,Europe & Central Asia (IDA & IBRD countries),TEC,2018,459865205
11,European Union,EUU,2018,446786293
12,Fragile and conflict affected situations,FCS,2018,743958386
13,Heavily indebted poor countries (HIPC),HPC,2018,780234406
14,High income,HIC,2018,1210312147
15,IBRD only,IBD,2018,4772284113
16,IDA & IBRD total,IBT,2018,6412522234
17,IDA blend,IDB,2018,555830605
18,IDA only,IDX,2018,1084407516
19,IDA total,IDA,2018,1640238121
20,Late-demographic dividend,LTE,2018,2288665963
21,Latin America & Caribbean,LCN,2018,641357515
22,Latin America & Caribbean (excluding high income),LAC,2018,609013934
23,Latin America & the Caribbean (IDA & IBRD countries),TLA,2018,625569713
24,Least developed countries: UN classification,LDC,2018,1009662578
25,Low & middle income,LMY,2018,6383958209
26,Low income,LIC,2018,705417321
27,Lower middle income,LMC,2018,3022905169
28,Middle East & North Africa,MEA,2018,448912859
29,Middle East & North Africa (excluding high income),MNA,2018,382896715
30,Middle East & North Africa (IDA & IBRD countries),TMN,2018,378327628
31,Middle income,MIC,2018,5678540888
32,North America,NAC,2018,364290258
33,OECD members,OED,2018,1303529456
34,Other small states,OSS,2018,30758989
35,Pacific island small states,PSS,2018,2457367
36,Post-demographic dividend,PST,2018,1109997273
37,Pre-demographic dividend,PRE,2018,919485393
38,Small states,SST,2018,40575321
39,South Asia,SAS,2018,1814388744
40,South Asia (IDA & IBRD),TSA,2018,1814388744
41,Sub-Saharan Africa,SSF,2018,1078306520
42,Sub-Saharan Africa (excluding high income),SSA,2018,1078209758
43,Sub-Saharan Africa (IDA & IBRD countries),TSS,2018,1078306520
44,Upper middle income,UMC,2018,2655635719
45,World,WLD,2018,7594270356
46,Afghanistan,AFG,2018,37172386
47,Albania,ALB,2018,2866376
48,Algeria,DZA,2018,42228429
49,American Samoa,ASM,2018,55465
50,Andorra,AND,2018,77006
51,Angola,AGO,2018,30809762
52,Antigua and Barbuda,ATG,2018,96286
53,Argentina,ARG,2018,44494502
54,Armenia,ARM,2018,2951776
55,Aruba,ABW,2018,105845
56,Australia,AUS,2018,24982688
57,Austria,AUT,2018,8840521
58,Azerbaijan,AZE,2018,9939800
59,"Bahamas, The",BHS,2018,385640
60,Bahrain,BHR,2018,1569439
61,Bangladesh,BGD,2018,161356039
62,Barbados,BRB,2018,286641
63,Belarus,BLR,2018,9483499
64,Belgium,BEL,2018,11433256
65,Belize,BLZ,2018,383071
66,Benin,BEN,2018,11485048
67,Bermuda,BMU,2018,63973
68,Bhutan,BTN,2018,754394
69,Bolivia,BOL,2018,11353142
70,Bosnia and Herzegovina,BIH,2018,3323929
71,Botswana,BWA,2018,2254126
72,Brazil,BRA,2018,209469333
73,British Virgin Islands,VGB,2018,29802
74,Brunei Darussalam,BRN,2018,428962
75,Bulgaria,BGR,2018,7025037
76,Burkina Faso,BFA,2018,19751535
77,Burundi,BDI,2018,11175378
78,Cabo Verde,CPV,2018,543767
79,Cambodia,KHM,2018,16249798
80,Cameroon,CMR,2018,25216237
81,Canada,CAN,2018,37057765
82,Cayman Islands,CYM,2018,64174
83,Central African Republic,CAF,2018,4666377
84,Chad,TCD,2018,15477751
85,Channel Islands,CHI,2018,170499
86,Chile,CHL,2018,18729160
87,China,CHN,2018,1392730000
88,Colombia,COL,2018,49648685
89,Comoros,COM,2018,832322
90,"Congo, Dem. Rep.",COD,2018,84068091
91,"Congo, Rep.",COG,2018,5244363
92,Costa Rica,CRI,2018,4999441
93,Cote d'Ivoire,CIV,2018,25069229
94,Croatia,HRV,2018,4087843
95,Cuba,CUB,2018,11338138
96,Curacao,CUW,2018,159800
97,Cyprus,CYP,2018,1189265
98,Czech Republic,CZE,2018,10629928
99,Denmark,DNK,2018,5793636
100,Djibouti,DJI,2018,958920
101,Dominica,DMA,2018,71625
102,Dominican Republic,DOM,2018,10627165
103,Ecuador,ECU,2018,17084357
104,"Egypt, Arab Rep.",EGY,2018,98423595
105,El Salvador,SLV,2018,6420744
106,Equatorial Guinea,GNQ,2018,1308974
107,Eritrea,ERI,2011,3213972
108,Estonia,EST,2018,1321977
109,Eswatini,SWZ,2018,1136191
110,Ethiopia,ETH,2018,109224559
111,Faroe Islands,FRO,2018,48497
112,Fiji,FJI,2018,883483
113,Finland,FIN,2018,5515525
