"Month";"Production index in construction industry"
"2010-01-01 1st Half-Year 2010:00:00";37,1
"2010-02-01 1st Half-Year 2010:00:00";43,3
"2010-03-01 1st Half-Year 2010:00:00";81,7
"2010-04-01 1st Half-Year 2010:00:00";91,6
"2010-05-01 1st Half-Year 2010:00:00";87,3
"2010-06-01 1st Half-Year 2010:00:00";98,3
"2010-07-01 2nd Half-Year 2010:00:00";97,4
"2010-08-01 2nd Half-Year 2010:00:00";92,8
"2010-09-01 2nd Half-Year 2010:00:00";101,8
"2010-10-01 2nd Half-Year 2010:00:00";103
"2010-11-01 2nd Half-Year 2010:00:00";100,5
"2010-12-01 2nd Half-Year 2010:00:00";53,3
"2011-01-01 1st Half-Year 2011:00:00";58,2
"2011-02-01 1st Half-Year 2011:00:00";67,9
"2011-03-01 1st Half-Year 2011:00:00";93,8
"2011-04-01 1st Half-Year 2011:00:00";92,9
"2011-05-01 1st Half-Year 2011:00:00";107,3
"2011-06-01 1st Half-Year 2011:00:00";93,4
"2011-07-01 2nd Half-Year 2011:00:00";99,4
"2011-08-01 2nd Half-Year 2011:00:00";100,9
"2011-09-01 2nd Half-Year 2011:00:00";105,6
"2011-10-01 2nd Half-Year 2011:00:00";101,6
"2011-11-01 2nd Half-Year 2011:00:00";109,1
"2011-12-01 2nd Half-Year 2011:00:00";74,9
"2012-01-01 1st Half-Year 2012:00:00";63,8
"2012-02-01 1st Half-Year 2012:00:00";54,7
"2012-03-01 1st Half-Year 2012:00:00";95,2
"2012-04-01 1st Half-Year 2012:00:00";93,8
"2012-05-01 1st Half-Year 2012:00:00";101,2
"2012-06-01 1st Half-Year 2012:00:00";102,2
"2012-07-01 2nd Half-Year 2012:00:00";106,7
"2012-08-01 2nd Half-Year 2012:00:00";103,4
"2012-09-01 2nd Half-Year 2012:00:00";102,2
"2012-10-01 2nd Half-Year 2012:00:00";113,3
"2012-11-01 2nd Half-Year 2012:00:00";109,4
"2012-12-01 2nd Half-Year 2012:00:00";66,3
"2013-01-01 1st Half-Year 2013:00:00";57,7
"2013-02-01 1st Half-Year 2013:00:00";61,6
"2013-03-01 1st Half-Year 2013:00:00";75,1
"2013-04-01 1st Half-Year 2013:00:00";106,2
"2013-05-01 1st Half-Year 2013:00:00";98,7
"2013-06-01 1st Half-Year 2013:00:00";105,2
"2013-07-01 2nd Half-Year 2013:00:00";115,1
"2013-08-01 2nd Half-Year 2013:00:00";102,9
"2013-09-01 2nd Half-Year 2013:00:00";109,1
"2013-10-01 2nd Half-Year 2013:00:00";117
"2013-11-01 2nd Half-Year 2013:00:00";110
"2013-12-01 2nd Half-Year 2013:00:00";79
"2014-01-01 1st Half-Year 2014:00:00";72
"2014-02-01 1st Half-Year 2014:00:00";79,2
"2014-03-01 1st Half-Year 2014:00:00";94,3
"2014-04-01 1st Half-Year 2014:00:00";104,9
"2014-05-01 1st Half-Year 2014:00:00";103
"2014-06-01 1st Half-Year 2014:00:00";104,4
"2014-07-01 2nd Half-Year 2014:00:00";116,6
"2014-08-01 2nd Half-Year 2014:00:00";98,9
"2014-09-01 2nd Half-Year 2014:00:00";116
"2014-10-01 2nd Half-Year 2014:00:00";118,7
"2014-11-01 2nd Half-Year 2014:00:00";109,2
