Month,Calendar and seasonally adjusted (X13 JDemetra+),Trend cycle component (Berlin method),3 month moving average
2010-01,82.3,89.5,88.1
2010-02,90.1,89.4,87.9
2010-03,91.3,89.2,89.7
2010-04,87.6,88.7,88.8
2010-05,87.4,88.4,87.5
2010-06,87.5,88.2,87.8
2010-07,88.6,88.1,88.7
2010-08,90.1,88.2,89.3
2010-09,89.3,88.4,90.7
2010-10,92.6,88.6,89.6
2010-11,87,88.8,87
2010-12,81.4,89.1,84.4
2011-01,84.9,89.4,85.2
2011-02,89.3,89.8,89.1
2011-03,93.1,90.2,91.3
2011-04,91.4,90.6,92.4
2011-05,92.6,91.1,92
2011-06,92.1,91.7,93.6
2011-07,96,92.2,93.3
2011-08,91.8,92.8,93.1
2011-09,91.4,93.4,90.9
2011-10,89.4,94,92.6
2011-11,96.9,94.6,92.9
2011-12,92.4,94.9,94.4
2012-01,93.8,95,94.3
2012-02,96.7,95,96.6
2012-03,99.2,94.9,97.9
2012-04,97.7,94.7,96.5
2012-05,92.6,94.4,94.6
2012-06,93.6,94,93
2012-07,92.8,93.7,95.6
2012-08,100.3,93.5,95.6
2012-09,93.8,93.4,101.9
2012-10,111.7,93.3,98.3
2012-11,89.3,93.4,96.8
2012-12,89.3,93.7,90.6
2013-01,93.2,94.2,93
2013-02,96.6,94.8,94.6
2013-03,94,95.5,95.1
2013-04,94.6,96.3,95
2013-05,96.5,97.3,98.2
2013-06,103.5,98.1,101.3
2013-07,104,98.8,102.1
2013-08,98.7,99.4,100.1
2013-09,97.7,99.7,98.1
2013-10,97.9,100,99.1
2013-11,101.6,100,99.6
2013-12,99.2,99.7,100.7
2014-01,101.2,99.2,99.9
2014-02,99.4,98.5,99.3
2014-03,97.4,98,99.2
2014-04,100.8,97.4,98.2
2014-05,96.5,96.8,96.7
2014-06,92.9,96.4,96.1
2014-07,98.8,96.2,96.1
2014-08,96.6,96.1,96.5
2014-09,94,96,94.8
2014-10,93.8,95.8,93.8
2014-11,93.5,95.7,93.1
2014-12,92.1,95.7,95
2015-01,99.5,95.8,96.6
2015-02,98.3,96,98.6
2015-03,97.9,96.3,97.1
2015-04,95.2,96.7,97.8
2015-05,100.3,97.3,97.3
2015-06,96.4,98.3,97.5
2015-07,95.8,99.5,97.3
2015-08,99.7,101,99.8
2015-09,103.8,102.5,100.4
2015-10,97.8,104.1,103.1
2015-11,107.6,105.7,105
2015-12,109.6,107.4,109.7
2016-01,112,108.8,110.8
2016-02,110.7,110,111.7
2016-03,112.3,111.2,111.6
2016-04,111.9,112.2,113.8
2016-05,117.1,113,114.3
2016-06,113.9,113.5,113.8
2016-07,110.5,113.9,111.8
2016-08,110.9,114.2,110.7
2016-09,110.6,114.5,114
2016-10,120.6,114.7,115.1
2016-11,114,114.6,116.1
2016-12,113.6,114.4,113.4
2017-01,112.5,114.4,113.8
2017-02,115.3,114.5,115.1
2017-03,117.6,114.8,117.6
2017-04,119.9,115.1,116.2
2017-05,111.1,115.4,115.8
2017-06,116.4,115.9,114.3
2017-07,115.4,116.5,115
2017-08,113.3,117,114
2017-09,113.3,117.4,113.3
2017-10,113.2,117.8,115.1
2017-11,118.9,118.2,122.5
2017-12,135.5,118.5,123.7
2018-01,116.7,118.8,127.3
2018-02,129.6,119,120
2018-03,113.7,119.4,119.9
2018-04,116.4,120.1,117.1
2018-05,121.3,121,118.3
2018-06,117.3,121.8,119.2
2018-07,119.1,122.6,118.5
2018-08,119.1,123.4,120.2
2018-09,122.5,124.1,121.8
2018-10,123.9,124.6,124.5
2018-11,127.1,125.1,130.7
2018-12,141.1,125.4,132.4
2019-01,129.1,125.6,133.4
2019-02,129.9,126,128.5
2019-03,126.6,126.2,126.7
2019-04,123.7,126.4,123.3
2019-05,119.7,126.7,122.1
2019-06,122.8,126.9,121.7
2019-07,122.7,126.8,122
2019-08,120.4,126.6,122.5
2019-09,124.3,126.3,122.6
2019-10,123.1,126,128.1
2019-11,137,125.5,131.3
2019-12,133.7,124.5,135.6
2020-01,136.1,123.2,132.3
2020-02,127.2,121.6,125.7
2020-03,113.9,120,119.4
2020-04,117,118.6,113.7
2020-05,110.3,117.3,
