"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2003-Q3",752.9732,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2003-Q4",763.7665,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2004-Q1",756.3199,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2004-Q2",788.1795,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2004-Q3",795.2581,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2004-Q4",811.5178,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2005-Q1",828.7975,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2005-Q2",839.8443,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2005-Q3",856.0832,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2005-Q4",842.1047,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2006-Q1",873.4464,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2006-Q2",875.0454,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2006-Q3",901.4699,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2006-Q4",934.3048,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2007-Q1",935.0798,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2007-Q2",926.1477,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2007-Q3",922.7701,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2007-Q4",940.4163,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2008-Q1",977.7028,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2008-Q2",970.3342,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2008-Q3",991.5043,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2008-Q4",984.2567,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2009-Q1",981.0352,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2009-Q2",981.504,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2009-Q3",980.3261,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2009-Q4",969.7954,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2010-Q1",978.1249,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2010-Q2",992.0819,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2010-Q3",985.3509,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2010-Q4",1016.527,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2011-Q1",987.9557,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2011-Q2",1018.691,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2011-Q3",1019.881,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2011-Q4",1004.584,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2012-Q1",995.2258,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2012-Q2",971.3655,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2012-Q3",958.2697,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2012-Q4",981.918,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2013-Q1",1005.816,
"AUS","EMPINDUS","CONSTR","THND_PER","Q","2013-Q2",977.588,
