DATE,IPG3273S
1972-01-01,110.3053
1972-02-01,107.5955
1972-03-01,106.7628
1972-04-01,106.4700
1972-05-01,104.9969
1972-06-01,105.5239
1972-07-01,106.4144
1972-08-01,107.9848
1972-09-01,108.5153
1972-10-01,108.6038
1972-11-01,104.5464
1972-12-01,102.1540
1973-01-01,106.9412
1973-02-01,110.2909
1973-03-01,111.6738
1973-04-01,110.8614
1973-05-01,111.1808
1973-06-01,111.1842
1973-07-01,112.4088
1973-08-01,112.2117
1973-09-01,109.5181
1973-10-01,108.9549
1973-11-01,111.6326
1973-12-01,111.4216
1974-01-01,108.6490
1974-02-01,114.1585
1974-03-01,112.1262
1974-04-01,110.6739
1974-05-01,109.1732
1974-06-01,109.1151
1974-07-01,106.2799
1974-08-01,104.9418
1974-09-01,104.3323
1974-10-01,105.2016
1974-11-01,101.9173
1974-12-01,102.0857
1975-01-01,101.9501
1975-02-01,96.1923
1975-03-01,89.2739
1975-04-01,90.3879
1975-05-01,94.4258
1975-06-01,94.1679
1975-07-01,95.9861
1975-08-01,96.5098
1975-09-01,97.6079
1975-10-01,96.4099
1975-11-01,95.3896
1975-12-01,94.9235
1976-01-01,96.7773
1976-02-01,97.1686
1976-03-01,94.2273
1976-04-01,95.6762
1976-05-01,94.3947
1976-06-01,93.8693
1976-07-01,94.1478
1976-08-01,93.9258
1976-09-01,95.5771
1976-10-01,94.6530
1976-11-01,94.9352
1976-12-01,94.4632
1977-01-01,89.0164
1977-02-01,96.5142
1977-03-01,100.7412
1977-04-01,104.3444
1977-05-01,104.9101
1977-06-01,105.2728
1977-07-01,106.3564
1977-08-01,106.0197
1977-09-01,106.1795
1977-10-01,106.7680
1977-11-01,107.7551
1977-12-01,108.0622
1978-01-01,98.1405
1978-02-01,99.7885
1978-03-01,107.3259
1978-04-01,113.7736
1978-05-01,113.7395
1978-06-01,115.1045
1978-07-01,113.5416
1978-08-01,113.4386
1978-09-01,113.1034
1978-10-01,114.2704
1978-11-01,113.4955
1978-12-01,115.6999
1979-01-01,103.8582
1979-02-01,105.7860
1979-03-01,113.0345
1979-04-01,111.4603
1979-05-01,114.4860
1979-06-01,115.2083
1979-07-01,113.5107
1979-08-01,114.3705
1979-09-01,112.0498
1979-10-01,113.0690
1979-11-01,112.3114
1979-12-01,113.1168
1980-01-01,108.7252
1980-02-01,105.2230
1980-03-01,100.5315
1980-04-01,98.3843
1980-05-01,96.3473
1980-06-01,96.9518
1980-07-01,95.2959
1980-08-01,94.9840
1980-09-01,97.0354
1980-10-01,98.3034
1980-11-01,99.2835
1980-12-01,99.7699
1981-01-01,100.1004
1981-02-01,95.7024
1981-03-01,98.0456
1981-04-01,97.3205
1981-05-01,94.0464
1981-06-01,91.0690
1981-07-01,91.2064
1981-08-01,90.1609
1981-09-01,90.8945
1981-10-01,87.4819
1981-11-01,89.1379
1981-12-01,88.5260
1982-01-01,81.1684
1982-02-01,84.0175
1982-03-01,82.7422
1982-04-01,82.2952
1982-05-01,83.8430
1982-06-01,84.9408
1982-07-01,86.2495
1982-08-01,85.4345
1982-09-01,86.0504
1982-10-01,85.7082
1982-11-01,83.4082
1982-12-01,84.1569
1983-01-01,88.3770
1983-02-01,85.4126
1983-03-01,85.4089
1983-04-01,85.2371
1983-05-01,88.7749
1983-06-01,92.9741
1983-07-01,94.4709
1983-08-01,95.7658
1983-09-01,96.7355
1983-10-01,96.0774
1983-11-01,95.2285
1983-12-01,92.4257
1984-01-01,95.0037
1984-02-01,102.9898
1984-03-01,98.3402
1984-04-01,98.8046
1984-05-01,99.7301
1984-06-01,100.0253
1984-07-01,100.3893
1984-08-01,99.9482
1984-09-01,99.8978
1984-10-01,98.9418
1984-11-01,100.9891
1984-12-01,99.9545
1985-01-01,99.0852
1985-02-01,99.2680
1985-03-01,103.1181
1985-04-01,104.3135
1985-05-01,103.6458
1985-06-01,103.2719
1985-07-01,104.2837
1985-08-01,103.6817
1985-09-01,103.5981
1985-10-01,103.8582
1985-11-01,100.7980
1985-12-01,100.5651
1986-01-01,109.8810
1986-02-01,105.1107
1986-03-01,105.2554
1986-04-01,109.7852
1986-05-01,108.6984
1986-06-01,109.0835
1986-07-01,108.6435
1986-08-01,111.0332
1986-09-01,111.8085
1986-10-01,111.7662
1986-11-01,108.6596
1986-12-01,111.5844
1987-01-01,118.0125
1987-02-01,121.0685
1987-03-01,116.3543
1987-04-01,115.5259
1987-05-01,117.3213
1987-06-01,115.0652
1987-07-01,117.3778
1987-08-01,115.5409
1987-09-01,117.3123
1987-10-01,119.0808
1987-11-01,118.3070
1987-12-01,120.8117
1988-01-01,113.7908
1988-02-01,118.4266
1988-03-01,120.5360
1988-04-01,118.9905
1988-05-01,120.4006
1988-06-01,119.4044
1988-07-01,116.5829
1988-08-01,116.8729
1988-09-01,117.0843
1988-10-01,118.1932
1988-11-01,118.9867
1988-12-01,120.5941
1989-01-01,122.7917
1989-02-01,116.6997
