Content:,Emissions by country and main source category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound:,CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start year:,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End year:,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit:,Gg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reference: European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGAR v5.0 (1970 - 2015) of November 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Crippa, M., Oreggioni, G., Guizzardi, D., Muntean, M., Schaaf, E., Lo Vullo, E., Solazzo, E., Monforti-Ferrario, F., Olivier, J.G.J., Vignati, E., Fossil CO2 and GHG emissions of all world countries - 2019 Report, EUR 29849 EN, Publications Office of the European Union, Luxembourg, 2019, ISBN 978-92-76-11100-9, doi:10.2760/687800, JRC117610.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data download:,https://edgar.jrc.ec.europa.eu/overview.php?v=50_GHG.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPCC-Annex,World Region,ISO_A3,Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,
Annex_I,Canada,CAN,Canada,4067.309419,4075.94254,4097.184971,4137.821733,3925.561057,3638.434442,3555.159591,3518.274317,3569.868499,3746.013206,3824.946918,3734.787637,3695.451144,3737.447729,4190.883681,4406.165656,4303.39445,4318.388962,4564.992128,4422.28587,4366.997973,4448.086305,4663.712137,4909.357664,5142.464889,4835.666126,5126.102656,5171.228941,4814.041175,4958.592306,5043.726725,4815.966947,4812.811869,4838.708125,4863.215699,4909.191307,4866.076458,4909.157349,4770.013122,4666.961516,4691.036508,4699.016423,4678.279446,5000.92869,5562.80178,5347.477767,,
Non-Annex_I,USA,SPM,Saint Pierre and Miquelon,0.156983816,0.176537486,0.18013957,0.183821008,0.185068681,0.188519567,0.188297671,0.190367326,0.190729237,0.191321518,0.192141675,0.193117229,0.19341138,0.194868081,0.197084802,0.200670307,0.202163019,0.207922159,0.209757184,0.213283497,0.216436282,0.210921488,0.212844509,0.205338753,0.205421973,0.199124154,0.199196501,0.197997513,0.198238155,0.198956413,0.203150586,0.203017932,0.203098959,0.203950762,0.204610316,0.203575884,0.204761852,0.204164476,0.204130686,0.204977902,0.205073463,0.205508305,0.206801613,0.206648028,0.207278272,0.207321869,,
Non-Annex_I,USA,UMI,United States Minor Outlying Islands,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
Annex_I,USA,USA,United States,26548.90449,26820.9146,26954.83734,27076.58556,26647.58864,26492.9015,26378.21922,26095.48384,26317.44378,27117.27062,27225.24451,27002.8544,26764.97874,25886.85536,26574.23484,26002.34095,25805.38275,25876.56064,25907.47339,25934.49134,26462.51667,26239.85556,26385.45766,26203.70633,26460.26994,26118.15792,25818.88511,25733.03461,25341.49708,24858.19483,24668.38147,23819.87549,23362.52059,23161.5723,22913.65048,22847.99424,23007.6294,23239.18813,23838.34955,23219.92411,23155.89116,23946.17875,24121.71535,24096.32435,25210.85536,25287.04711,,
Non-Annex_I,Mexico,MEX,Mexico,4636.361332,4778.950059,4516.186245,4335.922576,5025.063901,5261.089431,5565.788613,4856.352412,5683.581996,5432.839522,5971.186908,6572.436254,7795.098995,6740.424986,5999.529042,5924.801943,5501.379109,5573.330425,5250.858894,5307.588667,5299.923482,5240.537501,5211.065615,5469.940892,5450.045396,5626.789472,5770.599711,6016.728523,6027.889755,5823.737504,5888.713053,5913.375111,5955.479847,6127.677414,6120.539102,6270.585282,6441.177423,6521.627445,6674.123065,6642.310337,6668.211247,6606.234359,6531.053662,6615.523673,6679.534971,6721.273487,,
Non-Annex_I,Rest Central America,ABW,Aruba,0.577071765,0.59237716,0.595806249,0.600346553,0.600340757,0.601296159,0.598601439,0.599713965,0.594094269,0.592085057,0.591761546,0.594850078,0.601043491,0.607588758,0.612896864,0.612004528,0.608916661,0.603756133,0.632093842,0.638049622,0.658340409,0.692407007,0.758010467,0.805211856,0.844219699,0.884645753,0.866028589,0.935042034,0.928007902,0.963527102,0.967797276,0.960571338,0.955798339,0.974876614,1.00546141,1.001666246,0.995910836,0.98428611,0.979160735,0.95752736,0.918411503,0.969678947,0.960064595,0.966123688,0.95674286,0.961201932,,
Non-Annex_I,Rest Central America,AIA,Anguilla,0.06777985,0.070086407,0.070174092,0.07023286,0.070299979,0.070257204,0.070028649,0.0698384,0.069656308,0.069352391,0.069396415,0.069629938,0.069405714,0.068881386,0.068754975,0.068676284,0.071298195,0.075216507,0.078840953,0.082627273,0.086240668,0.089785947,0.092940247,0.096288002,0.099966162,0.103301939,0.105559189,0.107484288,0.109538364,0.111796388,0.114619176,0.117840986,0.120282445,0.12380467,0.126775679,0.129935757,0.132294123,0.134650493,0.137262217,0.140058979,0.142612257,0.144556869,0.146322666,0.148234594,0.14990443,0.151553862,,
