Content:,Emissions by country and main source category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound:,N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start year:,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End year:,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit:,Gg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reference: European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGAR v5.0 (1970 - 2015) of November 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Crippa, M., Oreggioni, G., Guizzardi, D., Muntean, M., Schaaf, E., Lo Vullo, E., Solazzo, E., Monforti-Ferrario, F., Olivier, J.G.J., Vignati, E., Fossil CO2 and GHG emissions of all world countries - 2019 Report, EUR 29849 EN, Publications Office of the European Union, Luxembourg, 2019, ISBN 978-92-76-11100-9, doi:10.2760/687800, JRC117610.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data download:,https://edgar.jrc.ec.europa.eu/overview.php?v=50_GHG.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPCC-Annex,World Region,ISO_A3,Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,
Annex_I,Canada,CAN,Canada,79.33693593,83.08822848,85.7225549,91.34621698,93.68865726,93.68965448,97.7313758,102.9128646,112.2981022,118.1587573,119.3826695,120.6380803,110.0547812,118.8630992,124.7824279,125.0980087,108.4283536,107.8010057,103.8364862,111.4988327,119.7234393,118.2616822,120.0845022,120.1019535,128.0696701,131.5683521,138.2907171,129.9190846,111.0654859,107.1067335,107.034852,102.3803464,100.9299581,103.4856583,105.3290666,105.2015799,105.4661535,108.1132884,106.855049,102.6105097,103.7965825,107.5157676,110.5371011,115.0649945,112.5004579,112.5768448,,
Non-Annex_I,USA,SPM,Saint Pierre and Miquelon,0.002454698,0.002459018,0.002471228,0.002736662,0.002393882,0.003175326,0.003221717,0.003402869,0.003915373,0.003457987,0.003712671,0.003780435,0.003744656,0.003753479,0.004547159,0.005506917,0.005441435,0.00867513,0.009225515,0.011102407,0.01140473,0.009458531,0.009884629,0.006037338,0.006002591,0.00325903,0.003302514,0.002694162,0.003462311,0.003902746,0.00419139,0.004199704,0.004023539,0.004037903,0.004122812,0.003727827,0.003603637,0.003692928,0.003812352,0.003929228,0.004024526,0.004206475,0.006767584,0.006567214,0.00794264,0.007826798,,
Annex_I,USA,USA,United States,990.503415,1000.499234,1022.988814,1053.375862,1030.912187,1042.176619,1063.509584,1075.318512,1087.466312,1123.296377,1072.196703,1052.328912,972.6426508,964.7645505,999.3196432,962.4561897,941.0271518,940.8350202,926.0591642,946.4822964,930.0625355,929.4627991,957.7003402,961.4947354,996.2879268,1000.864363,1027.705328,1027.941563,1024.740259,1017.316003,1021.616781,1007.565981,993.8389676,998.3126123,1013.055638,1000.47695,1016.111185,1006.345984,974.581917,963.8572591,988.2819732,985.4978004,973.3748667,991.8804699,988.7959379,986.661573,,
Non-Annex_I,Mexico,MEX,Mexico,70.34288746,69.58653664,71.30420008,73.02457323,77.30275092,82.56460647,85.77950566,87.46020474,88.92039783,91.25496302,95.57848359,102.7943831,104.7851989,104.5436491,106.9553449,109.0341456,110.7679244,112.7131654,110.304551,115.1819541,114.6103771,113.5475114,122.35563,135.0624843,160.6978599,195.9195652,200.5750579,226.5059164,236.5897781,243.0659711,253.7176156,263.8522982,270.9439363,282.7247438,290.9857365,297.9711602,306.3236349,319.6237206,331.8951723,353.9890968,355.2991694,357.7627397,360.6599125,367.771532,368.1699657,368.4689965,,
Non-Annex_I,Rest Central America,ABW,Aruba,0.005509818,0.005505881,0.005561952,0.005528535,0.005475868,0.005590579,0.005590701,0.005804333,0.005924531,0.005887834,0.006005843,0.006032052,0.006016236,0.005995428,0.006307505,0.006416762,0.006619874,0.006834162,0.012683751,0.013618415,0.014628602,0.016283667,0.016538074,0.018249839,0.018417722,0.020595367,0.015827424,0.022696897,0.025580097,0.031854465,0.029666336,0.031486817,0.029822937,0.029338957,0.03197446,0.029234276,0.028964193,0.02740373,0.028003831,0.028981746,0.030333143,0.028656869,0.046252181,0.05238646,0.0514924,0.05164419,,
Non-Annex_I,Rest Central America,AIA,Anguilla,0.000140307,0.000140098,0.000147332,0.000135619,0.00015358,0.000173291,0.000154096,0.000167783,0.000188961,0.000204921,0.00030399,0.000479541,0.000510639,0.000438659,0.000417494,0.00024785,0.000200745,0.000388082,0.000383353,0.00040634,0.000395511,0.000502216,0.000524185,0.000639921,0.000866137,0.001114046,0.001084889,0.000895211,0.000766408,0.000705825,0.000887162,0.000904714,0.000577387,0.000711748,0.000634858,0.000667518,0.00064218,0.000625293,0.000823555,0.001143871,0.001354874,0.001447813,0.001448148,0.001554837,0.001552362,0.001558451,,
Non-Annex_I,Rest Central America,ANT,Netherlands Antilles,0.183198252,0.182745608,0.182261648,0.196399064,0.173251765,0.219279512,0.219013558,0.246473293,0.276155505,0.247718072,0.256585439,0.224866989,0.201972791,0.19165373,0.225002561,0.207419109,0.205882154,0.235088875,0.242959379,0.229466517,0.223720605,0.226442343,0.231221407,0.229703336,0.23849751,0.262066806,0.262175001,0.283599972,0.320790997,0.377722756,0.364151295,0.367649866,0.334309897,0.308432426,0.321476792,0.308126924,0.300614796,0.332192303,0.377697553,0.366765309,0.386686411,0.4456935,0.478830583,0.472273496,0.458158212,0.464346165,,
