Date,7d_avg_tot,total_flights,7d_avg_com,commercial_flights
2020-01-13,174255,171632,111079,112827
2020-01-14,172803,173162,110793,111118
2020-01-15,173944,187297,111014,113468
2020-01-16,174154,187023,111126,116101
2020-01-17,174764,188157,111218,118166
2020-01-18,175720,161254,111329,102580
2020-01-19,176331,165794,111249,104487
2020-01-20,178826,189099,111451,114237
2020-01-21,181355,190867,111866,114029
2020-01-22,180920,184248,111905,113739
2020-01-23,181318,189810,111988,116682
2020-01-24,181517,189551,111692,116092
2020-01-25,181667,162301,111474,101054
2020-01-26,181449,164267,111437,104232
2020-01-27,179682,176736,111052,111541
2020-01-28,177889,178310,110365,109218
2020-01-29,177914,184425,109742,109380
2020-01-30,177404,186239,109033,111720
2020-01-31,176746,184949,108538,112625
2020-02-01,175570,154067,107920,96729
2020-02-02,174770,158666,106937,97348
2020-02-03,175156,179441,106023,105145
2020-02-04,174070,170708,105043,102355
2020-02-05,172705,174865,104168,103257
2020-02-06,170661,171934,103129,104450
2020-02-07,170184,181611,102282,106693
2020-02-08,172443,169881,102029,94955
2020-02-09,171584,152651,101403,92966
2020-02-10,168731,159472,100733,100456
2020-02-11,167461,161819,100466,100490
2020-02-12,167653,176204,100332,102317
2020-02-13,168317,176585,100395,104892
2020-02-14,169889,192613,100782,109400
2020-02-15,169805,169293,100772,94885
2020-02-16,170475,157345,100926,94042
2020-02-17,172520,173785,101059,101389
2020-02-18,174004,172208,101298,102167
2020-02-19,175109,183938,101705,105160
2020-02-20,176087,183430,101882,106132
2020-02-21,176679,196756,101872,109334
2020-02-22,177533,175274,102030,95989
2020-02-23,178806,166252,102449,96973
2020-02-24,178806,173788,102687,103057
2020-02-25,178842,172456,102799,102950
2020-02-26,177380,173708,102774,104989
2020-02-27,177882,186942,102910,107084
2020-02-28,177506,194125,102967,109732
2020-02-29,176346,167154,102957,95917
2020-03-01,176520,167470,103397,100050
2020-03-02,176363,172689,103761,105611
2020-03-03,176997,176892,104001,104630
