Country;Population;
Belgium;11549888;514731751
Bulgaria;6951482;
Czech Republic;10693939;
Denmark;5822763;
Germany;83166711;
Estonia;1328976;
Ireland;4963839;
Greece;10709739;
Spain;47329981;
France;67098824;
Croatia;4058165;
Italy;60244639;
Cyprus;888005;
Latvia;1907675;
Lithuania;2794090;
Luxembourg;626108;
Hungary;9769526;
Malta;514564;
Netherlands;17407585;
Austria;8901064;
Poland;37958138;
Portugal;10295909;
Romania;19317984;
Slovenia;2095861;
Slovakia;5457873;
Finland;5525292;
Sweden;10327589;
United Kingdom;67025542;
