;;Passenger cars: New registrations;German passenger cars: New registrations;Foreign passenger cars: New registrations;Export;Production;Commercial vehicles: New registrations;Commercial vehicles: Produktion
2010;January;181.189;121.898;59.291;283.532;376.937;16.250;14.349
2010;February;194.846;137.830;57.016;346.422;450.355;16.411;17.655
2010;March;294.375;208.970;85.405;417.133;560.055;25.740;20.594
2010;April;259.414;183.868;75.546;351.831;464.591;23.694;19.105
2010;May;249.708;177.948;71.760;362.491;470.130;22.281;18.591
2010;June;289.259;204.965;84.294;400.854;528.820;24.696;21.773
2010;July;237.428;165.494;71.934;317.591;392.553;23.420;19.710
2010;August;200.885;134.845;66.040;254.931;335.748;20.892;10.444
2010;September;259.748;183.455;76.293;401.489;536.468;26.879;23.025
2010;October;256.775;180.675;76.100;377.628;502.507;26.690;20.866
2010;November;262.262;189.534;72.728;397.065;519.765;28.677;27.080
2010;December;230.371;160.084;70.287;327.792;414.480;26.527;17.494
2011;January;211.056;147.082;63.974;311.577;398.078;22.841;19.977
2011;February;224.426;153.788;70.638;402.944;519.342;22.855;21.555
2011;March;327.921;227.153;100.768;440.128;583.399;30.730;23.891
2011;April;266.251;189.369;76.882;377.554;470.463;26.594;21.584
2011;May;304.543;219.649;84.894;420.226;563.015;30.828;25.242
2011;June;288.382;208.511;79.871;340.673;456.548;26.848;19.651
2011;July;260.907;189.913;70.994;359.326;462.005;27.682;20.441
2011;August;237.561;166.160;71.401;305.774;396.706;25.383;19.684
2011;September;280.689;201.341;79.348;422.695;562.504;28.946;27.674
2011;October;258.253;184.505;73.748;391.642;502.897;28.611;24.456
2011;November;269.144;194.460;74.684;415.845;546.272;32.657;29.416
2011;December;244.501;175.301;69.200;330.589;410.689;30.847;21.459
2012;January;210.195;146.105;64.090;337.572;443.510;23.558;21.618
2012;February;224.318;158.348;65.970;395.915;508.798;21.280;21.703
2012;March;339.123;232.410;106.713;403.630;546.169;30.811;24.872
2012;April;274.066;198.687;75.379;329.455;426.321;26.163;17.889
2012;May;289.977;210.632;79.345;337.416;448.045;26.648;22.248
2012;June;296.722;209.983;86.739;349.925;463.839;29.212;23.178
2012;July;247.860;178.124;69.736;361.302;460.830;26.876;20.078
2012;August;226.455;158.537;67.918;285.734;363.254;23.858;19.069
2012;September;250.082;176.937;73.145;339.647;450.072;24.138;25.366
2012;October;259.529;188.096;71.433;344.963;454.716;27.518;24.434
2012;November;259.846;192.411;67.435;367.107;482.406;28.212;24.850
2012;December;204.331;141.864;62.467;278.613;340.499;23.224;15.496
2013;January;192.090;138.240;53.850;310.700;397.634;19.913;19.743
2013;February;200.683;141.091;59.592;355.275;459.180;18.220;21.021
2013;March;281.184;198.441;82.743;369.323;474.467;25.121;24.014
2013;April;284.444;207.123;77.321;374.996;502.411;27.135;25.375
2013;May;261.316;193.060;68.256;318.154;428.684;24.094;23.212
2013;June;282.913;206.788;76.125;357.599;475.779;27.148;26.161
2013;July;253.146;183.677;69.469;360.169;444.960;27.946;20.857
2013;August;214.044;151.571;62.473;305.028;394.991;21.835;21.898
2013;September;247.199;177.900;69.299;392.423;514.468;25.154;25.196
2013;October;265.441;196.186;69.255;353.728;456.669;28.189;23.137
2013;November;254.651;189.488;65.163;416.851;537.383;31.036;29.256
2013;December;215.320;154.790;60.530;283.270;353.278;29.496;18.448
2014;January;205.996;150.347;55.649;343.408;442.430;20.516;25.329
2014;February;209.349;150.924;58.425;405.493;513.041;21.795;23.337
2014;March;296.408;209.595;86.813;396.867;522.428;27.583;24.855
2014;April;274.097;201.043;73.054;382.494;494.416;26.554;27.804
2014;May;274.804;200.609;74.195;369.024;482.483;27.978;27.494
2014;June;277.614;200.214;77.400;333.569;456.069;28.903;28.063
2014;July;270.249;201.343;68.906;408.369;535.001;28.885;25.655
2014;August;213.092;153.830;59.262;226.288;272.744;23.509;20.743
2014;September;260.062;187.002;73.060;391.796;524.072;27.133;29.240
2014;October;275.320;200.275;75.045;358.136;478.999;30.897;26.320
2014;November;250.082;185.528;64.554;392.276;515.340;28.222;25.247
2014;December;229.700;166.478;63.222;295.407;367.003;27.970;19.435
2015;January;211.337;156.519;54.818;333.524;421.510;21.635;27.071
2015;February;223.254;165.326;57.928;384.650;501.118;22.006;26.000
2015;March;323.039;230.522;92.517;429.929;556.049;31.196;30.193
2015;April;291.395;213.667;77.728;366.905;479.631;28.422;27.932
2015;May;256.385;185.609;70.776;341.394;447.925;25.428;24.309
2015;June;313.539;229.750;83.789;392.428;513.315;31.619;29.727
2015;July;290.196;213.321;76.875;408.918;533.264;28.895;22.937
2015;August;226.314;161.538;64.776;270.156;338.834;21.471;19.059
2015;September;272.479;195.523;76.956;412.654;538.149;27.300;31.125
2015;October;278.372;204.883;73.489;397.498;529.856;32.972;32.696
2015;November;272.377;198.003;74.374;389.400;518.512;32.429;31.496
2015;December;247.355;176.306;71.049;278.750;329.975;30.410;22.681
2016;January;218.365;160.441;57.924;311.610;416.983;24.131;24.202
2016;February;250.146;182.898;67.248;399.997;529.061;25.565;28.822
2016;March;322.913;232.459;90.454;395.023;523.210;32.017;27.792
2016;April;315.921;230.217;85.704;417.073;550.158;31.919;28.587
2016;May;286.931;204.367;82.564;345.923;445.393;28.183;26.259
2016;June;339.563;243.272;96.291;415.900;563.546;35.179;29.962
2016;July;278.866;200.051;78.815;333.308;410.630;28.480;23.481
2016;August;245.076;172.894;72.182;316.223;410.256;30.623;16.152
2016;September;298.002;212.902;85.100;404.119;529.463;28.693;30.938
2016;October;262.724;188.825;73.899;355.697;464.434;28.016;27.109
2016;November;276.567;198.723;77.844;412.079;535.180;33.003;28.935
2016;December;256.533;177.604;78.929;304.200;368.494;31.451;23.515
2017;January;241.399;176.189;65.210;348.510;459.282;24.767;
2017;February;243.602;170.568;73.034;376.912;487.600;25.497;
2017;March;359.683;248.482;111.201;439.213;567.605;37.542;
2017;April;290.697;205.007;85.690;343.954;450.717;28.147;
2017;May;323.952;226.803;97.149;367.204;482.362;31.892;
2017;June;327.693;228.089;99.604;349.357;473.778;32.816;
2017;July;283.080;198.883;84.197;317.458;376.087;29.605;
2017;August;253.680;175.202;78.478;352.515;452.786;29.992;
2017;September;288.035;204.380;83.655;406.054;525.976;30.283;
2017;October;272.855;193.118;79.737;325.980;428.029;32.067;
2017;November;302.636;214.916;87.720;440.651;581.194;35.031;
2017;December;253.950;177.405;76.545;310.300;360.168;31.507;
2018;January;269.429;191.292;78.137;358.524;453.716;27.036;
2018;February;261.749;182.925;78.824;348.884;447.565;26.426;
2018;March;347.433;237.503;109.930;378.800;526.698;34.684;
2018;April;314.055;225.854;88.201;398.737;485.519;32.219;
2018;May;305.057;217.965;87.092;338.641;437.671;31.716;
2018;June;341.308;241.759;99.549;366.065;495.652;35.188;
2018;July;317.848;227.105;90.743;307.397;378.651;29.962;
2018;August;316.405;215.793;100.612;249.843;310.076;33.502;
2018;September;200.134;129.212;70.922;315.093;401.084;30.627;
2018;October;252.628;178.560;74.068;337.195;427.322;37.482;
2018;November;272.674;197.113;75.561;344.472;458.820;37.329;
2018;December;237.058;167.197;69.861;249.073;297.635;30.111;
2019;January;265.702;186.197;79.505;288.442;373.129;31.299;22.859
2019;February;268.867;190.087;78.780;343.552;439.882;30.431;27.926
2019;March;345.523;239.191;106.332;343.387;453.605;37.701;28.170
2019;April;310.715;217.280;93.435;300.486;406.359;35.459;24.592
2019;May;332.962;236.004;96.958;316.957;443.885;39.548;26.283
2019;June;325.231;226.723;98.508;259.818;375.186;38.868;23.962
2019;July;332.788;242.040;90.748;286.083;355.112;33.661;16.015
2019;August;313.748;217.268;96.480;222.483;311.919;37.870;17.667
2019;September;244.622;166.663;77.959;318.375;416.400;27.095;25.595
2019;October;284.593;206.079;78.514;282.649;391.949;33.210;25.185
2019;November;299.127;219.771;79.356;305.281;418.867;35.052;27.843
2019;December;283.380;187.786;95.594;219.808;277.456;29.607;17.470
2020;January;246.300;177.456;68.844;251.027;341.130;28.911;20.506
2020;February;239.943;168.081;71.862;285.777;388.668;28.115;23.806
2020;March;215.119;151.418;63.701;240.304;289.648;28.120;16.712
2020;April;120.840;81.471;39.369;22.680;11.287;19.455;882
2020;May;168.148;110.594;57.554;101.784;158.541;20.623;16.398
;;;;;;;;
