DATE;Plastic production
2015-06-01;105.1844
2015-07-01;105.5780
2015-08-01;106.8709
2015-09-01;106.3240
2015-10-01;106.3979
2015-11-01;106.2253
2015-12-01;106.2257
2016-01-01;106.4910
2016-02-01;106.3636
2016-03-01;106.0200
2016-04-01;106.5016
2016-05-01;106.7095
2016-06-01;106.6129
2016-07-01;107.9717
2016-08-01;107.3040
2016-09-01;108.1147
2016-10-01;108.7252
2016-11-01;107.6488
2016-12-01;106.7682
2017-01-01;107.3563
2017-02-01;109.5258
2017-03-01;107.6273
2017-04-01;108.4664
2017-05-01;107.8619
2017-06-01;109.3021
2017-07-01;109.7082
2017-08-01;109.2664
2017-09-01;110.3122
2017-10-01;109.6897
2017-11-01;111.6938
2017-12-01;110.6677
2018-01-01;109.7687
2018-02-01;111.3329
2018-03-01;110.9603
2018-04-01;110.2340
2018-05-01;108.9699
2018-06-01;109.1347
2018-07-01;110.4586
2018-08-01;109.7138
2018-09-01;109.9226
2018-10-01;109.8521
2018-11-01;110.6024
2018-12-01;111.4560
2019-01-01;110.6636
2019-02-01;110.3645
2019-03-01;108.9489
2019-04-01;106.9014
2019-05-01;108.2672
2019-06-01;109.6200
2019-07-01;106.6201
2019-08-01;108.2283
2019-09-01;107.3649
2019-10-01;107.2777
2019-11-01;108.0916
2019-12-01;107.8477
2020-01-01;108.7637
2020-02-01;109.3286
2020-03-01;103.1030
2020-04-01;81.9363
2020-05-01;85.5353
2020-06-01;92.9495
