Date;Austria;Belgium;Bosnia and Herzegovina;Brazil;Bulgaria;Canada;China;Czech Republic;Finland;France;Germany;Greece;Hungary;India;Italy;Japan;Luxembourg;Netherlands;Poland;Russia;Slovenia;Spain;Sweden;United Kingdom;EU;United States;World
201901;685,3;635,0;72,0;3.020,8;44,5;1.166,0;78.862,7;439,7;330,3;1.238,1;3.454,8;124,0;155,8;9.591,0;1.972,2;8.141,9;189,2;617,3;844,6;6.243,8;57,9;1.158,6;462,3;606,1;11.695,4;7.517,7;151.681,3
201902;632,1;623,8;71,3;2.746,7;46,0;1.046,0;71.230,9;397,5;237,4;1.248,0;3.319,0;121,0;156,2;9.421,0;2.042,7;7.744,7;178,8;572,2;765,7;5.734,5;49,6;1.154,7;409,9;662,5;11.361,1;6.956,0;139.625,9
201903;715,1;744,9;75,8;2.877,7;50,6;1.252,0;80.340,7;395,3;336,5;1.382,7;3.666,9;150,0;176,2;10.042,0;2.285,5;9.084,3;221,5;612,0;912,1;6.120,0;57,1;1.377,4;439,8;647,1;12.710,5;7.686,0;156.454,6
201904;652,3;660,8;75,8;2.970,0;54,6;992,0;84.879,2;416,5;372,7;1.287,6;3.358,3;111,0;172,5;9.021,0;1.949,1;8.647,5;200,5;511,2;805,4;5.831,1;57,2;1.299,9;432,0;630,5;11.659,1;7.356,6;157.599,8
201905;645,9;706,6;73,0;2.826,3;56,0;1.032,0;88.565,2;400,9;373,7;1.234,9;3.512,9;130,0;153,7;9.468,0;2.217,1;8.674,0;200,7;609,9;806,7;6.302,1;55,9;1.255,8;451,8;635,7;12.095,8;7.552,8;163.014,4
201906;632,4;633,7;53,3;2.882,5;55,2;1.084,0;87.670,7;398,1;286,7;1.285,0;3.405,5;126,0;122,0;9.387,0;2.080,1;8.793,4;189,9;515,1;659,4;6.057,7;53,6;1.217,5;361,8;605,5;11.361,4;7.243,9;159.541,5
201907;604,8;675,6;64,0;2.504,8;44,6;1.060,0;85.223,2;390,6;220,1;1.312,3;3.216,6;92,0;135,6;9.485,0;1.970,1;8.387,2;189,5;604,8;812,1;6.105,6;49,5;921,7;388,6;629,1;10.977,0;7.419,5;156.399,3
201908;576,7;639,7;72,8;2.536,6;42,8;1.111,0;87.250,8;364,3;257,9;1.049,5;3.266,2;35,0;120,8;8.868,0;855,8;8.120,0;112,5;578,2;694,9;5.815,6;53,3;1.031,5;361,7;509,2;9.333,4;7.396,1;155.205,8
201909;587,7;601,4;48,9;2.394,5;42,5;1.078,0;82.772,8;372,0;298,5;1.204,8;3.351,5;130,0;109,2;8.772,0;2.206,5;8.039,4;183,2;396,3;613,3;5.815,5;50,8;1.179,9;397,7;590,1;11.126,3;7.003,7;151.272,4
201910;608,9;704,9;55,0;2.690,5;44,1;1.030,0;81.520,6;268,3;315,8;1.181,0;3.322,9;122,0;140,5;8.981,0;2.221,8;8.150,0;178,4;573,7;755,9;5.798,3;53,3;1.206,5;330,0;610,4;11.324,6;7.249,7;151.087,5
201911;561,6;627,7;68,3;2.656,8;42,3;954,0;80.286,8;348,0;257,5;1.108,5;2.949,0;115,0;163,5;8.933,0;1.985,7;7.716,5;178,4;544,9;643,8;5.745,6;50,6;1.019,0;308,9;541,6;10.256,7;7.087,8;147.574,8
201912;521,0;505,4;70,4;2.461,8;42,7;1.092,0;84.265,0;358,8;186,2;918,4;2.843,2;94,0;163,6;9.383,0;1.403,7;7.785,2;96,6;521,2;642,4;6.159,2;34,5;765,3;376,4;550,2;8.997,3;7.291,6;151.640,6
202001;630,6;648,5;70,0;2.710,8;50,0;1.090,0;79.929,3;408,7;332,2;1.297,5;3.117,5;111,0;110,0;9.307,0;1.872,8;8.244,2;186,6;597,5;719,6;6.266,0;58,9;982,0;425,0;657,5;10.926,8;7.656,1;151.349,1
202002;642,0;591,3;65,0;2.739,9;52,1;1.127,0;74.772,6;390,9;323,9;1.231,7;3.455,7;142,0;138,0;9.439,0;2.041,7;7.918,6;180,1;566,3;719,9;5.806,0;55,7;1.105,0;399,3;575,7;11.377,8;7.067,4;144.395,0
202003;543,0;600,5;50,0;2.691,7;55,8;1.021,0;78.974,7;402,6;362,2;902,6;3.286,7;100,0;154,0;8.094,0;1.371,8;7.949,9;89,6;573,1;657,9;6.122,0;57,2;1.162,0;427,4;567,2;10.170,2;6.994,8;147.377,5
202004;483,8;540,0;;1.811,2;50,0;804,0;85.033,3;372,3;287,1;580,9;2.557,0;20,0;152,0;3.270,0;1.123,6;6.575,0;141,3;494,3;671,0;5.674,0;48,0;626,0;403,1;629,2;8.155,9;4.821,6;136.628,6
202005;527,5;600,0;40,0;2.187,6;50,0;780,0;92.266,8;364,8;234,6;783,6;2.565,0;100,0;135,0;6.100,0;1.855,0;5.922,9;159,1;487,2;637,0;5.786,0;31,6;786,0;370,0;522,2;9.081,1;4.912,3;148.727,0
202006;510,0;580,0;40,0;2.100,0;50,0;750,0;91.578,8;298,7;230,0;836,3;2.475,0;95,0;145,0;6.917,0;1.810,0;5.597,9;150,1;338,3;615,0;5.600,0;38,1;834,0;333,4;506,6;8.755,5;4.746,0;148.295,2
