Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
BRAZIL;Tirios;82026;1961-1990;Mean Monthly Value;mm;111.2;116.3;168.1;226.7;348.5;231.1;189.4;105.8;76.9;38.4;43.8;75.9;1732.1
BRAZIL;Macapa;82098;1961-1990;Mean Monthly Value;mm;299.6;347.0;407.2;384.3;351.5;220.1;184.8;98.0;42.6;35.5;58.4;142.5;2571.5
BRAZIL;Barcelos;82113;1961-1990;Mean Monthly Value;mm;246.3;387.2;506.7;496.2;345.1;205.2;162.4;99.6;28.1;22.9;14.1;128.8;2642.6
BRAZIL;SOURE;82141;1961-1990;Mean Monthly Value;mm;417.6;554.3;614.8;565.6;376.6;182.9;159.5;93.9;38.5;16.7;37.7;157.8;3215.9
BRAZIL;Tracuateua;82145;1961-1990;Mean Monthly Value;mm;239.3;407.8;467.8;453.6;328.1;223.5;173.1;101.2;28.6;19.2;11.7;90.9;2544.8
BRAZIL;Obidos;82178;1961-1990;Mean Monthly Value;mm;238.2;272.3;305.6;289.7;288.3;107.0;70.2;36.0;49.5;71.4;78.4;179.4;1906.0
BRAZIL;Monte Alegre;82181;1961-1990;Mean Monthly Value;mm;143.9;224.6;268.9;295.0;271.8;154.3;91.4;50.6;28.0;28.0;29.6;91.7;1677.8
BRAZIL;Porto de Moz;82184;1961-1990;Mean Monthly Value;mm;230.1;267.8;349.0;366.6;335.1;247.1;177.3;87.6;77.6;52.8;79.7;108.7;2389.4
BRAZIL;Breves;82188;1961-1990;Mean Monthly Value;mm;307.4;294.5;319.3;311.4;237.9;188.5;133.9;75.8;78.4;89.6;81.3;181.0;2299.0
BRAZIL;Belem;82191;1961-1990;Mean Monthly Value;mm;366.5;417.5;436.2;360.0;304.4;140.2;152.1;131.1;140.8;116.1;111.8;216.4;2893.1
