Country or Territory;Station Name;WMO Station Number;National Station Id Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
CANADA;VICTORIA MARINE , BC;71000;1018642;1967-1990;Mean Monthly Value;mm;193.1;142.2;108.8;75.6;44.7;28.6;21.0;26.5;54.8;121.3;213.0;197.2;1226.9
CANADA;CAMPBELL RIVER A , BC;71000;1021261;1965-1990;Mean Monthly Value;mm;185.7;144.5;136.6;74.5;58.7;49.3;39.5;42.9;61.6;155.4;226.7;233.5;1409.1
CANADA;CHATHAM POINT , BC;71000;1021480;1958-1990;Mean Monthly Value;mm;259.0;213.5;192.3;126.7;115.3;110.1;85.2;97.3;117.9;272.3;299.3;296.4;2185.3
CANADA;BULL HARBOUR , BC;71000;1031110;1921-1988;Mean Monthly Value;mm;279.1;207.8;175.1;154.0;101.1;88.1;71.0;78.1;158.1;277.5;305.4;294.7;2189.9
CANADA;EGG ISLAND , BC;71000;1062646;1965-1990;Mean Monthly Value;mm;320.7;224.9;214.5;186.3;135.0;120.0;80.0;98.0;191.1;324.5;351.7;333.5;2579.9
CANADA;ETHELDA BAY , BC;71000;1062745;1957-1990;Mean Monthly Value;mm;364.7;303.4;273.4;267.4;195.5;142.3;123.5;156.7;254.0;424.8;425.5;356.6;3287.8
CANADA;QUESNEL A , BC;71000;1096630;1946-1990;Mean Monthly Value;mm;50.5;28.7;28.2;22.6;42.5;56.7;59.0;56.3;49.3;49.6;46.0;49.3;538.5
CANADA;GOLDEN , BC;71000;1173210;1902-1990;Mean Monthly Value;mm;62.6;32.4;20.3;23.4;33.7;42.7;48.2;43.5;38.7;34.0;48.6;62.7;490.7
CANADA;DAWSON CREEK A , BC;71000;1182285;1968-1990;Mean Monthly Value;mm;29.8;22.4;23.7;17.6;37.7;79.8;78.1;63.7;50.1;28.4;25.1;31.0;487.3
CANADA;CONTWOYTO LAKE , NT;71000;2200850;1959-1981;Mean Monthly Value;mm;7.0;7.8;10.2;11.2;18.3;25.1;36.2;41.1;32.7;30.6;15.7;10.6;246.6
CANADA;FORT GOOD HOPE A , NT;71000;2201400;1944-1990;Mean Monthly Value;mm;16.8;13.9;11.4;13.1;15.5;31.9;38.5;44.5;24.7;29.4;17.8;19.6;281.9
CANADA;FORT RESOLUTION A , NT;71000;2202000;1930-1990;Mean Monthly Value;mm;21.9;14.0;13.0;12.1;13.8;23.3;40.0;32.1;33.6;37.6;42.7;35.4;301.9
CANADA;WRIGLEY A , NT;71000;2204000;1943-1990;Mean Monthly Value;mm;17.2;11.9;13.0;21.4;26.8;53.9;56.1;48.6;30.1;36.5;21.5;18.5;348.5
CANADA;CORONATION A , AB;71000;3011880;1944-1990;Mean Monthly Value;mm;19.6;16.0;19.3;21.2;39.0;62.7;72.2;48.8;38.2;14.5;15.0;20.2;386.9
CANADA;VERMILION A , AB;71000;3016800;1945-1982;Mean Monthly Value;mm;19.8;12.9;17.9;19.7;40.0;75.9;78.5;62.8;35.6;15.7;14.7;20.2;413.7
CANADA;LETHBRIDGE CDA , AB;71000;3033890;1908-1989;Mean Monthly Value;mm;21.0;12.8;25.4;34.8;48.6;64.6;39.8;44.7;42.7;16.0;15.9;20.3;386.5
CANADA;MANYBERRIES CDA , AB;71000;3044200;1928-1990;Mean Monthly Value;mm;24.1;18.4;23.4;30.8;48.3;57.0;31.9;34.2;31.3;13.7;15.2;22.8;351.0
CANADA;REGINA CDA , SK;71000;4016640;1932-1990;Mean Monthly Value;mm;18.8;13.4;17.3;20.9;50.2;60.8;58.9;39.1;34.4;21.3;13.2;18.7;366.9
CANADA;SWIFT CURRENT CDA , SK;71000;4028060;1959-1990;Mean Monthly Value;mm;15.3;13.6;17.5;21.8;42.1;66.1;44.0;35.4;30.9;15.4;12.0;16.2;330.4
CANADA;SCOTT CDA , SK;71000;4047240;1911-1990;Mean Monthly Value;mm;17.2;12.0;17.8;23.8;35.5;67.3;65.6;43.7;31.8;13.9;17.0;19.4;365.1
CANADA;BRANDON CDA , MB;71000;5010485;1890-1990;Mean Monthly Value;mm;20.6;19.2;22.9;37.5;48.6;70.4;71.6;70.9;50.5;23.6;16.2;20.7;472.7
CANADA;PORTAGE LA PRAIRIE A , MB;71000;5012320;1941-1990;Mean Monthly Value;mm;23.8;19.6;26.3;40.4;56.8;75.0;76.9;78.8;50.1;32.7;22.9;22.2;525.2
CANADA;MORDEN CDA , MB;71000;5021848;1918-1990;Mean Monthly Value;mm;20.1;18.4;28.1;41.8;65.7;78.4;70.3;67.7;51.6;33.5;22.2;22.6;520.3
CANADA;BISSETT , MB;71000;5030282;1968-1990;Mean Monthly Value;mm;26.4;18.1;28.2;33.8;54.9;92.4;68.9;76.1;67.6;46.9;29.8;21.7;564.9
CANADA;GRAND RAPIDS HYDRO , MB;71000;5031111;1966-1990;Mean Monthly Value;mm;16.4;12.8;24.8;24.6;38.9;75.2;75.1;67.2;60.7;41.5;26.8;19.4;483.4
CANADA;FLIN FLON A , MB;71000;5050960;1968-1990;Mean Monthly Value;mm;19.3;14.6;20.8;28.7;41.0;70.2;67.1;74.3;60.2;37.1;27.0;23.8;484.1
CANADA;LANSDOWNE HOUSE , ON;71000;6014350;1941-1989;Mean Monthly Value;mm;30.7;21.6;30.5;42.1;52.2;82.3;98.2;93.0;86.4;61.0;50.6;33.2;681.8
CANADA;DRYDEN A , ON;71000;6032119;1970-1990;Mean Monthly Value;mm;30.4;23.9;37.4;39.1;63.9;108.4;92.6;78.8;83.3;60.5;39.1;28.1;685.4
CANADA;KAPUSKASING CDA , ON;71000;6073960;1918-1990;Mean Monthly Value;mm;47.9;37.4;51.8;48.9;73.5;87.3;99.4;91.2;91.8;80.1;67.3;50.5;827.2
CANADA;OTTAWA CDA , ON;71000;6105976;1889-1990;Mean Monthly Value;mm;50.8;49.7;56.6;64.8;76.8;84.3;86.5;87.8;83.6;74.7;81.0;72.9;869.5
CANADA;HARROW CDA , ON;71000;6133360;1917-1990;Mean Monthly Value;mm;51.0;53.8;75.1;81.2;79.7;80.8;91.5;82.3;85.4;58.8;78.4;82.8;900.9
CANADA;TORONTO DOWNSVIEW A , ON;71000;6158443;1957-1982;Mean Monthly Value;mm;58.6;46.9;58.8;67.7;61.7;76.7;71.8;75.4;67.4;62.8;69.3;71.3;788.4
CANADA;GRINDSTONE ISLAND , QC;71000;7052960;1871-1983;Mean Monthly Value;mm;99.6;75.2;83.8;74.6;64.3;61.8;61.9;74.8;76.0;94.7;101.9;118.6;987.3
CANADA;BARRAGE TEMISCAMINGUE , QC;71000;7080468;1910-1990;Mean Monthly Value;mm;62.7;47.5;64.5;65.9;72.8;93.0;103.4;96.8;100.0;82.0;79.3;69.0;937.0
CANADA;CHAPAIS 2 , QC;71000;7091305;1962-1990;Mean Monthly Value;mm;54.3;40.4;43.2;44.1;71.9;100.7;115.4;112.2;119.5;83.1;74.7;60.3;919.9
CANADA;NITCHEQUON , QC;71000;7095480;1942-1985;Mean Monthly Value;mm;38.5;30.9;44.9;40.8;57.5;87.7;112.4;119.6;107.7;82.1;60.6;44.4;827.2
CANADA;FREDERICTON CDA , NB;71000;8101600;1913-1990;Mean Monthly Value;mm;86.4;73.7;79.8;78.5;97.3;87.0;84.4;94.3;93.3;93.3;112.2;114.1;1094.5
CANADA;CHARLOTTETOWN CDA , PE;71000;8300400;1910-1990;Mean Monthly Value;mm;97.1;82.3;83.1;88.3;94.2;87.5;78.5;90.1;91.9;112.4;115.0;116.7;1137.1
CANADA;SUMMERSIDE A , PE;71000;8300700;1942-1990;Mean Monthly Value;mm;98.5;76.0;80.1;78.5;86.4;82.1;78.1;89.7;81.5;96.7;99.8;113.2;1060.5
