Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
CHINA;Hailar;50527;1961-1990;Mean Monthly Value;mm;2.8;2.6;4.2;11.8;22.9;59.8;103.7;89.1;35.0;10.3;4.3;4.5;350.9
CHINA;Qiqihar;50745;1961-1990;Mean Monthly Value;mm;1.3;1.8;4.7;15.1;30.5;64.2;137.5;94.0;44.8;19.2;4.2;2.6;419.9
CHINA;Altai;51076;1961-1990;Mean Monthly Value;mm;11.5;9.7;8.7;10.9;18.1;14.2;22.0;13.6;15.4;16.6;19.0;15.6;175.2
CHINA;Yining;51431;1961-1989;Mean Monthly Value;mm;17.4;17.7;21.2;27.2;25.0;27.3;23.8;11.7;15.1;24.2;24.7;19.3;254.5
CHINA;Kashi;51709;1961-1990;Mean Monthly Value;mm;2.5;5.5;5.8;5.5;11.4;6.5;7.5;8.3;5.9;2.5;1.9;1.2;64.4
CHINA;Ruoqiang;51777;1961-1990;Mean Monthly Value;mm;.9;.6;.9;1.0;2.0;4.4;10.7;2.6;.6;.3;.6;.4;24.8
CHINA;Hetan;51828;1961-1990;Mean Monthly Value;mm;1.3;2.2;.8;2.7;7.1;7.2;5.4;3.0;2.3;1.0;.3;.8;34.1
CHINA;Hami;52203;1961-1990;Mean Monthly Value;mm;1.3;1.4;1.0;2.0;3.2;6.2;6.7;4.9;3.3;2.6;1.5;.9;34.9
CHINA;Jiuquan;52533;1961-1990;Mean Monthly Value;mm;1.6;1.7;4.0;4.5;10.2;13.7;19.5;17.3;10.4;2.4;1.6;1.1;87.9
CHINA;Duian;52836;1961-1990;Mean Monthly Value;mm;3.0;5.5;6.8;10.2;25.3;41.0;36.7;29.2;16.0;7.1;3.7;3.1;187.6
CHINA;Lanzhou;52889;1961-1990;Mean Monthly Value;mm;1.1;2.4;8.9;19.1;38.2;36.8;57.4;75.9;46.3;24.4;4.5;1.1;316.0
CHINA;Erlian;53068;1961-1990;Mean Monthly Value;mm;1.4;1.1;1.9;5.0;8.3;16.6;36.5;39.6;18.4;7.9;2.0;.8;139.5
CHINA;Yinchuan;53614;1961-1990;Mean Monthly Value;mm;1.2;2.1;5.9;12.2;17.0;18.9;42.2;51.9;23.4;14.3;4.0;.6;193.8
CHINA;Taiyuan;53772;1961-1990;Mean Monthly Value;mm;2.9;6.3;10.7;23.8;35.3;54.6;120.2;94.4;64.3;29.1;12.1;3.2;456.8
CHINA;Yanji;54292;1961-1990;Mean Monthly Value;mm;3.8;5.5;7.4;29.0;49.6;84.4;104.3;134.4;56.7;22.7;13.8;5.7;517.1
CHINA;Shenyang;54342;1961-1990;Mean Monthly Value;mm;6.7;8.1;16.3;42.8;55.1;86.8;166.5;157.4;76.8;42.2;17.1;8.6;684.4
CHINA;Beijing;54511;1961-1990;Mean Monthly Value;mm;2.6;5.9;9.0;26.4;28.7;70.7;175.6;182.2;48.7;18.8;6.0;2.3;577.0
CHINA;Qingdao;54857;1961-1990;Mean Monthly Value;mm;10.5;12.4;21.0;36.4;50.9;82.7;177.1;156.0;90.2;46.5;26.6;9.7;719.9
CHINA;Lhasa;55591;1961-1989;Mean Monthly Value;mm;.5;.7;2.0;5.2;26.6;72.3;119.4;122.6;58.3;10.2;1.7;1.0;420.4
CHINA;Changdu;56137;1961-1989;Mean Monthly Value;mm;1.1;3.8;8.5;17.4;40.8;92.8;102.3;93.7;70.1;25.2;4.8;2.4;462.9
CHINA;Chengdu;56294;1961-1990;Mean Monthly Value;mm;7.3;10.3;20.5;46.6;87.1;102.8;230.5;223.7;131.5;39.4;16.5;5.0;921.1
CHINA;Xichang;56571;1961-1990;Mean Monthly Value;mm;6.3;4.5;12.3;27.8;95.6;182.5;210.2;177.0;153.5;78.2;19.6;6.3;973.7
CHINA;Tengchong;56739;1961-1990;Mean Monthly Value;mm;15.7;30.3;39.8;75.5;128.5;285.9;278.7;249.1;159.9;144.2;48.6;21.8;1477.9
CHINA;Kunming;56778;1961-1990;Mean Monthly Value;mm;11.7;12.4;16.2;26.8;91.9;173.2;204.8;205.9;121.6;88.6;40.1;13.5;1006.6
CHINA;Pingbian;56986;1961-1990;Mean Monthly Value;mm;22.8;36.2;46.2;109.6;165.1;239.9;321.4;305.2;193.3;117.9;68.5;26.6;1652.6
CHINA;Xi'an;57036;1961-1990;Mean Monthly Value;mm;6.4;10.7;26.4;49.5;65.4;51.0;92.8;66.7;107.5;65.6;25.6;5.5;573.0
CHINA;Zhengzhou;57083;1961-1990;Mean Monthly Value;mm;8.7;13.7;25.3;48.4;52.4;61.2;146.8;117.4;89.9;46.7;25.5;9.2;645.2
CHINA;Yichang;57461;1961-1990;Mean Monthly Value;mm;18.8;28.8;56.9;96.0;123.7;151.6;210.2;185.8;126.9;87.0;48.0;21.4;1155.0
CHINA;Zhijiang;57745;1961-1990;Mean Monthly Value;mm;39.0;47.1;72.2;164.4;207.9;196.0;118.7;122.5;66.3;104.2;68.0;33.8;1240.2
CHINA;Ganzhou;57993;1961-1990;Mean Monthly Value;mm;61.2;95.5;160.7;200.5;214.6;209.1;96.7;122.7;93.3;76.1;53.8;38.3;1422.5
CHINA;Shanghai;58367;1961-1990;Mean Monthly Value;mm;39.0;58.8;81.2;102.3;114.5;152.0;128.2;133.0;155.6;60.5;51.2;34.7;1110.9
CHINA;Nanchang;58606;1961-1990;Mean Monthly Value;mm;56.1;101.5;150.9;224.3;253.0;282.0;122.4;103.3;75.2;57.5;54.5;40.5;1521.2
CHINA;Taoyuan;58965;1961-1990;Mean Monthly Value;mm;103.3;192.6;211.9;127.9;214.4;200.4;113.2;117.2;151.3;104.3;96.6;81.0;1714.1
