Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
FRANCE;CAEN;7027;1961-1990;Mean Monthly Value;mm;63.5;57.6;56.3;45.6;58.4;52.3;47.7;46.5;61.4;67.7;84.9;69.0;710.8
FRANCE;BREST;7110;1961-1990;Mean Monthly Value;mm;137.9;108.2;104.9;72.1;75.7;54.3;46.3;59.0;80.0;110.0;120.9;140.2;1109.4
FRANCE;PARIS/LE BOURGET;7150;1961-1990;Mean Monthly Value;mm;54.3;46.1;53.5;46.5;63.3;57.8;53.6;51.6;53.8;55.5;55.8;55.6;647.3
FRANCE;NANCY/ESSEY;7180;1961-1990;Mean Monthly Value;mm;62.8;56.6;58.5;51.6;71.3;75.1;59.0;66.7;62.7;59.4;64.8;70.9;759.3
FRANCE;STRASBOURG;7190;1961-1990;Mean Monthly Value;mm;33.1;34.3;36.6;48.0;74.5;74.6;56.8;67.8;55.5;43.0;46.6;39.9;610.5
FRANCE;NANTES;7222;1961-1990;Mean Monthly Value;mm;86.6;70.2;69.1;49.9;64.1;45.0;46.4;44.8;62.2;79.2;86.9;84.1;788.5
FRANCE;BOURGES;7255;1961-1990;Mean Monthly Value;mm;60.5;58.7;60.1;51.7;80.8;56.9;51.8;59.4;61.2;59.0;59.4;63.1;722.5
FRANCE;DIJON;7280;1961-1990;Mean Monthly Value;mm;59.2;52.5;52.8;52.2;86.3;62.4;51.0;65.4;66.6;57.6;64.2;62.0;732.2
FRANCE;Lyon/Bron;7480;1961-1990;Mean Monthly Value;mm;54.1;54.5;62.9;67.8;86.0;76.6;60.6;76.7;75.2;79.5;71.4;59.2;824.8
FRANCE;Bordeaux/Merignac;7510;1961-1990;Mean Monthly Value;mm;100.4;85.5;76.4;72.2;77.3;56.2;46.5;54.2;73.9;87.6;94.1;98.7;923.1
FRANCE;Toulouse/Blagnac;7630;1961-1990;Mean Monthly Value;mm;55.1;55.2;57.5;64.4;73.1;57.8;41.0;47.4;47.7;51.5;48.8;55.9;655.7
FRANCE;N~imes/Courbessac;7645;1961-1990;Mean Monthly Value;mm;67.7;70.7;55.9;59.2;60.9;38.6;25.3;51.6;66.8;131.9;69.2;64.1;761.9
FRANCE;Marseille/Marignane;7650;1961-1990;Mean Monthly Value;mm;47.2;54.0;43.7;47.9;42.3;27.8;13.7;29.3;46.7;77.6;58.4;55.8;544.4
FRANCE;Nice;7690;1961-1990;Mean Monthly Value;mm;82.7;76.4;70.5;62.2;48.6;36.9;15.6;31.3;54.4;108.2;104.2;77.5;779.2
FRANCE;Perpignan;7747;1961-1990;Mean Monthly Value;mm;50.6;44.8;43.5;55.9;50.1;28.3;17.1;32.0;47.3;89.8;58.6;54.4;572.4
FRANCE;Ajaccio;7761;1961-1990;Mean Monthly Value;mm;73.8;69.7;58.1;52.0;40.2;19.0;11.0;19.9;43.6;87.0;95.9;75.5;645.6
