Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
GERMANY;Schleswig;10035;1961-1990;Mean Monthly Value;mm;79.0;50.0;61.0;55.0;61.0;71.0;92.0;87.0;86.0;90.0;105.0;88.0;926.0
GERMANY;Hamburg-Fuhlsbuttel;10147;1961-1990;Mean Monthly Value;mm;61.0;41.0;56.0;51.0;57.0;74.0;82.0;70.0;70.0;63.0;71.0;72.0;770.0
GERMANY;Rostock-Warnemunde;10170;1961-1990;Mean Monthly Value;mm;46.0;31.0;40.0;42.0;47.0;59.0;71.0;59.0;54.0;42.0;52.0;48.0;589.0
GERMANY;Hannover;10338;1961-1990;Mean Monthly Value;mm;52.0;37.0;48.0;50.0;62.0;73.0;62.0;64.0;53.0;42.0;52.0;60.0;656.0
GERMANY;Potsdam;10379;1961-1990;Mean Monthly Value;mm;44.0;38.0;38.0;44.0;56.0;69.0;52.0;60.0;46.0;36.0;47.0;55.0;585.0
GERMANY;Berlin-Dahlem;10381;1961-1990;Mean Monthly Value;mm;43.0;37.0;38.0;42.0;55.0;71.0;53.0;65.0;46.0;36.0;50.0;55.0;589.0
GERMANY;Lindenberg;10393;1961-1990;Mean Monthly Value;mm;39.0;34.0;36.0;41.0;59.0;65.0;53.0;63.0;41.0;39.0;44.0;50.0;563.0
GERMANY;Essen;10410;1961-1990;Mean Monthly Value;mm;81.0;57.0;75.0;68.0;73.0;97.0;89.0;77.0;73.0;70.0;83.0;90.0;931.0
GERMANY;Kassel;10438;1961-1990;Mean Monthly Value;mm;55.0;43.0;51.0;50.0;67.0;79.0;64.0;63.0;54.0;46.0;59.0;67.0;698.0
GERMANY;Gorlitz;10499;1961-1990;Mean Monthly Value;mm;47.0;37.0;38.0;50.0;66.0;70.0;70.0;74.0;52.0;45.0;51.0;57.0;657.0
GERMANY;Fichtelberg;10578;1961-1990;Mean Monthly Value;mm;88.0;80.0;87.0;86.0;101.0;109.0;112.0;106.0;89.0;70.0;88.0;102.0;1117.0
GERMANY;Trier-Petrisberg;10609;1961-1990;Mean Monthly Value;mm;60.0;55.0;64.0;53.0;68.0;73.0;70.0;71.0;59.0;65.0;74.0;72.0;784.0
GERMANY;Geisenheim;10628;1961-1990;Mean Monthly Value;mm;39.0;35.0;38.0;39.0;51.0;59.0;57.0;53.0;41.0;42.0;49.0;46.0;548.0
GERMANY;Karlsruhe;10727;1961-1990;Mean Monthly Value;mm;57.0;54.0;53.0;61.0;79.0;86.0;70.0;66.0;53.0;58.0;65.0;67.0;770.0
GERMANY;Nurnberg;10763;1961-1990;Mean Monthly Value;mm;45.0;39.0;46.0;48.0;64.0;75.0;69.0;67.0;51.0;45.0;44.0;52.0;644.0
GERMANY;Munchen, Flughafen;10870;1961-1990;Mean Monthly Value;mm;45.0;42.0;47.0;55.0;88.0;109.0;100.0;98.0;68.0;49.0;55.0;49.0;804.0
GERMANY;Konstanz;10929;1961-1990;Mean Monthly Value;mm;52.0;51.0;51.0;68.0;85.0;105.0;102.0;88.0;71.0;54.0;65.0;57.0;849.0
GERMANY;Zugspitze;10961;1961-1990;Mean Monthly Value;mm;189.0;154.0;186.0;199.0;172.0;185.0;183.0;170.0;115.0;109.0;158.0;184.0;2003.0
GERMANY;HohenpeiBenberg;10962;1961-1990;Mean Monthly Value;mm;61.0;60.0;64.0;93.0;131.0;168.0;161.0;156.0;107.0;71.0;73.0;66.0;1210.0
