Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
GREECE;THESSALONIKI/MIKTA;16622;1961-1990;Mean Monthly Value;mm;36.9;40.3;45.7;36.1;44.0;31.6;25.6;20.8;26.2;40.6;57.7;52.9;458.4
GREECE;ALEXANDROUPOLIS;16627;1961-1990;Mean Monthly Value;mm;60.4;61.2;52.3;39.6;36.3;27.3;17.6;10.6;31.0;50.5;75.7;86.8;549.2
GREECE;KERKIRA;16641;1961-1990;Mean Monthly Value;mm;131.7;136.1;98.4;61.8;36.3;14.3;7.4;17.8;74.9;148.1;180.5;180.0;1087.2
GREECE;IOANNINA;16642;1961-1990;Mean Monthly Value;mm;130.3;115.5;98.2;76.0;66.9;46.8;28.5;28.4;54.9;95.5;164.5;172.3;1077.9
GREECE;LARISSA;16648;1961-1990;Mean Monthly Value;mm;29.7;34.9;36.3;28.9;37.1;23.5;20.3;15.5;29.4;47.1;58.2;52.3;413.1
GREECE;LIMNOS ISLAND;16650;1961-1990;Mean Monthly Value;mm;72.3;44.1;51.6;32.3;23.3;21.9;10.3;7.5;19.6;35.9;75.4;80.2;474.2
GREECE;MITILINI;16667;1961-1990;Mean Monthly Value;mm;129.9;97.2;75.1;46.8;21.2;6.0;2.3;4.1;10.7;38.2;93.7;145.4;670.6
GREECE;SKIROS ISLAND;16684;1961-1990;Mean Monthly Value;mm;78.2;63.2;51.4;22.0;17.7;5.2;5.9;10.3;17.9;38.7;53.8;78.1;442.4
GREECE;PATRAI;16689;1961-1990;Mean Monthly Value;mm;92.8;91.0;62.1;46.3;28.4;8.7;5.7;4.8;23.0;75.3;118.3;121.8;682.2
GREECE;TRIPOLIS;16710;1961-1990;Mean Monthly Value;mm;119.2;100.4;72.3;59.2;35.4;24.8;18.9;15.6;24.7;78.6;114.0;147.7;810.7
GREECE;ATHENS OBSERVATORY;16714;1961-1990;Mean Monthly Value;mm;44.6;48.3;42.6;28.2;17.2;9.7;4.2;4.6;11.9;47.7;50.6;66.6;376.1
GREECE;ATHENS/HELLENKION;16716;1961-1990;Mean Monthly Value;mm;45.2;47.8;44.3;24.8;14.4;6.0;5.6;8.1;9.7;47.8;50.8;66.3;370.6
GREECE;ZAKINTHOS AIRPORT;16719;1961-1990;Mean Monthly Value;mm;150.4;112.8;89.6;51.3;17.0;7.2;5.0;9.1;25.4;146.5;159.1;169.9;939.2
GREECE;SAMOS AIRPORT;16723;1961-1990;Mean Monthly Value;mm;148.5;102.8;85.9;31.8;15.5;2.7;.7;1.1;22.7;28.9;110.4;163.7;702.3
GREECE;KALAMATA;16726;1961-1990;Mean Monthly Value;mm;113.3;102.0;72.9;47.5;22.8;6.5;3.5;10.4;28.1;99.8;142.1;153.6;802.6
GREECE;NAXOS ISLAND;16732;1961-1990;Mean Monthly Value;mm;71.3;58.6;49.8;18.4;9.8;2.8;.6;2.8;5.7;39.3;47.4;69.4;375.7
GREECE;METHONI;16734;1961-1990;Mean Monthly Value;mm;117.0;82.0;65.8;31.8;13.9;3.4;.4;4.2;30.3;102.1;114.4;141.7;706.7
GREECE;MILOS;16738;1961-1990;Mean Monthly Value;mm;74.7;50.6;47.2;20.5;13.1;3.3;.3;1.4;5.8;42.9;60.7;90.3;409.4
GREECE;KYTHIRA ISLAND;16743;1961-1990;Mean Monthly Value;mm;103.3;67.7;59.5;28.1;10.5;1.9;2.4;2.3;11.2;54.2;85.6;115.2;541.9
GREECE;SOUDA/KHANIA;16746;1961-1990;Mean Monthly Value;mm;141.7;112.4;80.7;31.8;13.0;4.6;1.3;1.5;18.7;80.1;72.8;93.9;649.7
GREECE;RHODES;16749;1961-1990;Mean Monthly Value;mm;147.8;117.7;75.3;24.0;14.0;2.9;.1;.1;7.1;64.3;88.4;145.3;687.1
GREECE;IRAKLION;16754;1961-1990;Mean Monthly Value;mm;91.5;77.4;57.4;30.0;15.2;3.2;1.0;.7;19.5;68.8;58.8;77.1;500.4
