Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
IRELAND;VALENTIA OBSERVATORY;3953;1961-1990;Mean Monthly Value;mm;167.0;123.0;122.0;77.0;88.0;80.0;73.0;111.0;125.0;157.0;147.0;159.0;1430.0
IRELAND;CORK AP;3955;1961-1990;Mean Monthly Value;mm;148.0;115.0;97.0;70.0;84.0;68.0;65.0;90.0;97.0;126.0;109.0;136.0;1205.0
IRELAND;ROSSLARE;3957;1961-1990;Mean Monthly Value;mm;95.0;70.0;67.0;56.0;55.0;51.0;51.0;71.0;72.0;95.0;98.0;98.0;877.0
IRELAND;KILKENNY;3960;1961-1990;Mean Monthly Value;mm;87.0;66.0;63.0;52.0;62.0;50.0;53.0;71.0;72.0;85.0;74.0;88.0;823.0
IRELAND;SHANNON AP;3962;1961-1990;Mean Monthly Value;mm;98.0;71.0;71.0;56.0;60.0;63.0;57.0;82.0;82.0;93.0;95.0;99.0;927.0
IRELAND;BIRR;3965;1961-1990;Mean Monthly Value;mm;76.0;54.0;61.0;53.0;61.0;56.0;59.0;78.0;71.0;84.0;74.0;78.0;804.0
IRELAND;DUBLIN AP;3969;1961-1990;Mean Monthly Value;mm;69.0;50.0;53.0;51.0;55.0;56.0;50.0;71.0;66.0;70.0;64.0;76.0;733.0
IRELAND;CLAREMORRIS;3970;1961-1990;Mean Monthly Value;mm;121.0;83.0;96.0;62.0;77.0;72.0;63.0;97.0;104.0;126.0;119.0;123.0;1143.0
IRELAND;CLONES;3974;1961-1990;Mean Monthly Value;mm;91.0;67.0;78.0;56.0;67.0;68.0;60.0;86.0;83.0;97.0;85.0;90.0;928.0
IRELAND;BELMULLET;3976;1961-1990;Mean Monthly Value;mm;124.0;80.0;96.0;57.0;68.0;68.0;68.0;94.0;109.0;134.0;127.0;119.0;1143.0
IRELAND;MALIN HEAD;3980;1961-1990;Mean Monthly Value;mm;114.0;77.0;86.0;57.0;59.0;65.0;72.0;92.0;102.0;119.0;115.0;103.0;1061.0
