Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
ITALY;RESIA PASS;16008;1961-1990;Mean Monthly Value;mm;28.2;29.2;28.8;36.5;70.9;63.6;83.7;90.7;56.5;37.8;46.7;31.4;604.0
ITALY;BOLZANO(CIV/IT-AFB);16020;1961-1990;Mean Monthly Value;mm;25.6;26.4;44.6;52.6;82.2;80.6;92.5;92.0;67.3;56.5;54.7;26.6;701.6
ITALY;ROLLE PASS;16021;1961-1990;Mean Monthly Value;mm;43.1;43.0;54.1;64.1;108.6;133.2;147.7;140.1;106.9;93.3;83.5;39.4;1057.0
ITALY;PAGANELLA MOUNTAIN;16022;1961-1990;Mean Monthly Value;mm;30.9;23.7;40.9;40.0;67.6;86.3;95.4;93.7;90.3;73.1;50.5;27.4;719.8
ITALY;DOBBIACO;16033;1961-1990;Mean Monthly Value;mm;27.6;33.9;40.7;45.1;79.1;92.8;109.1;101.9;66.5;54.7;48.2;31.6;731.2
ITALY;TARVISIO;16040;1961-1990;Mean Monthly Value;mm;78.1;74.0;98.9;128.2;140.4;144.4;136.8;154.7;137.1;126.6;156.1;95.8;1471.1
ITALY;RIVOLTO (IT-AFB);16045;1969-1990;Mean Monthly Value;mm;89.1;71.9;103.1;119.1;125.9;136.2;79.0;90.2;99.0;124.3;107.3;103.6;1248.7
ITALY;TORINO/CASELLE;16059;1961-1990;Mean Monthly Value;mm;40.5;52.5;76.9;104.1;120.3;97.6;66.6;79.8;70.1;88.9;75.5;41.6;914.4
ITALY;TORINO/BRIC CROCE;16061;1961-1990;Mean Monthly Value;mm;29.7;42.8;51.5;90.4;113.3;82.3;46.4;73.4;63.7;73.8;51.1;29.3;747.7
ITALY;CAMERI (IT-AFB);16064;1964-1990;Mean Monthly Value;mm;59.0;73.3;94.8;103.7;126.8;81.5;54.8;84.7;71.9;109.8;83.1;49.5;992.9
ITALY;MILANO/MALPENSA;16066;1961-1990;Mean Monthly Value;mm;67.5;77.1;99.7;106.3;132.0;93.3;66.8;97.5;73.2;107.4;106.3;54.6;1081.7
ITALY;BISBINO MOUNTAIN;16072;1961-1990;Mean Monthly Value;mm;60.7;54.8;81.0;126.8;174.1;162.6;118.7;159.6;141.2;141.4;94.8;54.4;1370.1
ITALY;BERGAMO/ORIO SERIO;16076;1961-1990;Mean Monthly Value;mm;71.0;64.3;83.0;89.4;127.1;112.6;110.1;129.2;94.2;108.6;110.6;55.5;1155.6
ITALY;MILANO/LINATE;16080;1961-1990;Mean Monthly Value;mm;64.3;62.6;81.6;82.2;96.5;65.4;68.0;93.0;68.5;99.7;101.0;60.4;943.2
ITALY;PIACENZA (IT-AFB);16084;1961-1990;Mean Monthly Value;mm;62.5;70.1;77.3;77.7;71.1;62.5;37.8;66.5;56.6;93.5;91.1;70.2;836.9
ITALY;GHEDI (IT-AFB);16088;1961-1990;Mean Monthly Value;mm;59.6;53.9;63.8;69.2;91.7;75.0;72.5;84.8;62.4;83.7;78.6;53.8;849.0
ITALY;VILLAFRANCA(CV/MIL);16090;1961-1990;Mean Monthly Value;mm;54.5;47.8;57.8;68.8;85.4;86.2;61.5;87.5;62.6;81.5;75.3;50.6;819.5
ITALY;VICENZA(CIV/IT-AFB);16094;1961-1990;Mean Monthly Value;mm;84.7;77.4;90.0;95.7;102.7;103.2;73.4;100.7;76.7;93.9;109.2;79.3;1086.9
ITALY;PADOVA (CIV/IT-AFB);16095;1961-1990;Mean Monthly Value;mm;70.4;56.9;67.0;68.1;78.6;88.0;64.2;79.8;58.2;65.5;86.7;62.4;845.8
ITALY;ISTRANA (IT-AFB);16098;1961-1990;Mean Monthly Value;mm;63.1;61.6;69.2;81.8;102.9;108.7;66.4;88.4;73.4;81.6;98.3;61.4;956.8
ITALY;TREVISO(CIV/IT-AFB);16099;1961-1990;Mean Monthly Value;mm;66.7;64.5;70.8;67.7;89.5;104.8;65.9;90.9;77.5;80.7;86.7;62.4;928.1
ITALY;VENEZIA/TESSERA;16105;1961-1990;Mean Monthly Value;mm;58.1;54.2;57.1;64.3;68.7;76.4;63.1;83.1;66.0;69.0;87.3;53.7;801.0
ITALY;RONCHI LEGIONARI AB;16108;1967-1990;Mean Monthly Value;mm;83.0;77.0;74.8;97.8;92.9;105.2;75.3;103.4;109.3;102.8;111.0;95.7;1128.2
ITALY;TRIESTE;16110;1961-1990;Mean Monthly Value;mm;71.2;61.8;76.7;86.8;81.0;101.6;71.2;100.6;102.3;86.6;113.7;91.9;1045.4
ITALY;GENOVA/SESTRI;16120;1962-1990;Mean Monthly Value;mm;106.4;95.1;105.8;85.3;75.6;53.2;26.8;80.8;98.6;153.0;110.5;81.1;1072.2
ITALY;ALBENGA;16122;1961-1990;Mean Monthly Value;mm;101.4;89.7;90.4;81.6;76.1;38.2;21.3;43.3;55.0;105.5;96.8;78.9;878.2
ITALY;CISA PASS;16124;1961-1990;Mean Monthly Value;mm;139.0;116.1;128.4;143.8;113.4;98.7;49.2;80.8;103.6;190.6;999.9;999.9;3163.4
ITALY;SARZANA/LUNI;16125;1970-1990;Mean Monthly Value;mm;138.6;97.6;100.6;101.8;83.8;53.1;28.1;56.6;79.6;148.7;139.7;120.0;1148.2
ITALY;CIMONE MOUNTAIN;16134;1961-1990;Mean Monthly Value;mm;50.2;42.8;53.9;50.9;57.9;59.9;51.2;74.5;76.8;80.2;80.1;53.8;732.2
ITALY;BOLOGNA/BORGO (AFB);16140;1961-1990;Mean Monthly Value;mm;42.9;44.9;60.4;67.0;65.0;52.6;42.8;57.9;61.0;71.6;81.3;61.0;708.4
ITALY;POINT MARINA/RAVENN;16146;1961-1990;Mean Monthly Value;mm;44.2;36.9;53.4;47.8;44.5;45.8;44.8;61.2;60.7;51.3;68.0;46.8;605.4
ITALY;CERVIA (IT-AFB);16148;1968-1990;Mean Monthly Value;mm;44.4;49.2;57.3;53.9;45.0;46.5;71.3;59.7;72.0;55.4;77.3;55.2;687.2
ITALY;RIMINI (CIV/IT-AFB);16149;1961-1990;Mean Monthly Value;mm;47.8;48.1;57.0;53.2;50.2;51.1;53.6;66.7;68.0;77.1;73.0;56.6;702.4
ITALY;CAPE MELE;16153;1964-1990;Mean Monthly Value;mm;71.0;72.9;68.5;65.3;53.6;32.6;11.9;34.2;57.4;96.8;69.8;65.4;699.4
ITALY;PISA (CIV/IT-AFB);16158;1961-1990;Mean Monthly Value;mm;74.1;69.7;77.1;79.6;60.6;43.0;24.0;56.7;87.9;120.0;122.1;85.2;900.0
ITALY;VOLTERRA;16164;1965-1990;Mean Monthly Value;mm;64.7;68.6;72.0;70.5;61.9;56.6;46.2;59.8;79.3;88.2;95.8;68.7;832.3
ITALY;MOUNT ARGENTARIO;16168;1964-1990;Mean Monthly Value;mm;50.9;37.6;43.3;28.3;24.8;16.0;8.6;23.0;28.4;58.0;48.3;52.2;419.4
ITALY;FIRENZE/PERETOLA;16170;1961-1990;Mean Monthly Value;mm;73.1;69.2;80.1;77.5;72.6;54.7;39.6;76.1;77.5;87.8;111.2;91.3;910.7
ITALY;AREZZO;16172;1961-1990;Mean Monthly Value;mm;59.7;54.6;59.4;61.7;64.7;52.4;36.8;50.9;61.8;74.6;92.5;71.8;740.9
ITALY;FRONTONE;16179;1961-1990;Mean Monthly Value;mm;75.9;86.4;91.4;95.7;106.7;88.4;65.1;92.4;100.4;109.8;140.0;106.0;1158.2
ITALY;PERUGIA;16181;1968-1990;Mean Monthly Value;mm;58.4;67.6;61.8;70.3;73.5;70.8;45.2;59.6;69.1;74.9;93.4;71.4;816.0
ITALY;FALCONARA (IT-AFB);16191;1964-1990;Mean Monthly Value;mm;51.3;53.3;68.4;54.4;60.0;55.4;52.1;83.6;73.4;72.0;79.5;73.6;777.0
ITALY;M. CALAMITA;16197;1961-1990;Mean Monthly Value;mm;61.9;71.7;58.4;50.2;40.5;27.6;15.1;31.1;58.6;96.0;86.3;65.1;662.5
ITALY;RADICOFANI;16204;1965-1990;Mean Monthly Value;mm;44.8;51.4;47.9;52.9;53.2;34.6;34.4;46.7;58.9;68.5;76.8;56.3;626.4
ITALY;GROSSETO (IT-AFB);16206;1961-1990;Mean Monthly Value;mm;64.1;56.7;56.2;49.6;39.9;27.1;20.2;37.4;64.5;86.8;93.8;64.9;661.2
ITALY;CIVITAVECCHIA;16214;1965-1990;Mean Monthly Value;mm;94.1;70.7;50.1;53.1;41.8;18.9;9.1;25.8;55.8;83.0;89.0;71.4;662.8
ITALY;VITERBO (IT-MIL);16216;1961-1990;Mean Monthly Value;mm;57.0;60.2;49.3;61.0;54.9;57.0;28.5;54.0;57.9;86.7;92.9;68.7;728.1
ITALY;VIGNA DI VALLE(MIL);16224;1961-1990;Mean Monthly Value;mm;108.5;96.3;76.7;78.5;55.7;40.5;19.3;46.0;84.8;110.2;131.8;117.0;965.3
ITALY;PRETURO;16228;1961-1981;Mean Monthly Value;mm;38.8;51.9;45.6;67.0;83.4;87.8;88.5;82.8;106.9;112.4;75.4;57.7;898.2
ITALY;PESCARA;16230;1961-1990;Mean Monthly Value;mm;54.7;52.6;62.9;55.3;34.6;43.9;33.8;53.7;61.2;73.5;71.3;76.8;674.3
ITALY;TERMOLI;16232;1961-1991;Mean Monthly Value;mm;28.8;26.6;26.6;22.5;22.6;25.1;24.1;32.1;44.3;45.3;46.2;41.2;385.4
ITALY;GUIDONIA (IT-AFB);16234;1961-1990;Mean Monthly Value;mm;74.6;74.2;61.0;66.5;56.6;43.7;27.8;45.0;71.2;88.7;102.8;87.1;799.2
ITALY;ROME/URBE (IT-AFB);16235;1961-1990;Mean Monthly Value;mm;82.6;76.0;68.0;68.2;47.3;41.0;22.7;36.1;75.0;107.7;120.2;92.5;837.3
ITALY;CIAMPINO(IT-AFB/CV);16239;1961-1990;Mean Monthly Value;mm;102.6;98.5;67.5;65.4;48.2;34.4;22.9;32.8;68.1;93.7;129.6;111.0;874.7
ITALY;ROME/FIUMICINO;16242;1961-1990;Mean Monthly Value;mm;80.7;74.9;65.0;54.7;31.8;16.3;14.7;33.3;68.2;93.4;110.5;89.6;733.1
ITALY;LATINA (IT-AFB);16243;1961-1990;Mean Monthly Value;mm;98.4;86.1;77.0;77.1;48.1;36.3;23.8;41.8;80.1;114.9;142.4;104.7;930.7
ITALY;FROSINONE (IT-AFB);16244;1961-1990;Mean Monthly Value;mm;132.6;128.2;100.2;98.9;68.5;50.6;39.9;65.3;95.2;141.7;202.2;175.4;1298.7
ITALY;PRATICA DI MARE(AB);16245;1962-1990;Mean Monthly Value;mm;75.0;81.4;72.4;59.6;36.7;28.5;11.2;29.7;77.0;121.3;119.4;107.3;819.5
ITALY;CAMPOBASSO;16252;1961-1990;Mean Monthly Value;mm;55.2;59.5;50.3;50.9;47.8;35.7;35.2;40.2;45.6;57.8;81.0;68.3;627.5
ITALY;GRAZZANISE (IT-AFB);16253;1964-1990;Mean Monthly Value;mm;103.5;81.3;72.2;69.2;43.8;28.2;18.6;47.1;77.5;117.5;136.0;103.4;898.3
