Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
LITHUANIA;Klaipeda;26509;1961-1990;Mean Monthly Value;mm;50.0;31.0;39.0;36.0;39.0;56.0;74.0;83.0;89.0;80.0;90.0;68.0;735.0
LITHUANIA;Telsiai;26515;1961-1990;Mean Monthly Value;mm;55.0;34.0;46.0;43.0;44.0;67.0;89.0;92.0;80.0;80.0;89.0;69.0;72.0
LITHUANIA;Laukuva;26518;1961-1990;Mean Monthly Value;mm;60.0;39.0;50.0;43.0;47.0;71.0;89.0;84.0;82.0;79.0;98.0;79.0;82.0
LITHUANIA;Siauliai;26524;1961-1990;Mean Monthly Value;mm;33.0;24.0;32.0;38.0;47.0;60.0;74.0;77.0;60.0;53.0;58.0;44.0;600.0
LITHUANIA;Birzai;26531;1961-1990;Mean Monthly Value;mm;32.0;24.0;34.0;40.0;52.0;58.0;77.0;71.0;64.0;55.0;52.0;46.0;62.0
LITHUANIA;Silute;26600;1961-1990;Mean Monthly Value;mm;48.0;34.0;39.0;37.0;48.0;65.0;95.0;93.0;96.0;83.0;91.0;68.0;72.0
LITHUANIA;Nida;26603;1961-1990;Mean Monthly Value;mm;45.0;28.0;34.0;33.0;41.0;52.0;77.0;82.0;83.0;79.0;84.0;63.0;72.0
LITHUANIA;Raseiniai;26621;1961-1990;Mean Monthly Value;mm;44.0;30.0;39.0;40.0;51.0;73.0;84.0;75.0;63.0;59.0;69.0;55.0;62.0
LITHUANIA;Kaunas;26629;1961-1990;Mean Monthly Value;mm;39.0;31.0;35.0;42.0;55.0;69.0;80.0;78.0;56.0;45.0;53.0;47.0;630.0
LITHUANIA;Utena;26633;1961-1990;Mean Monthly Value;mm;39.0;31.0;37.0;47.0;53.0;69.0;73.0;75.0;66.0;50.0;57.0;53.0;62.0
LITHUANIA;Ukmerge;26634;1961-1990;Mean Monthly Value;mm;31.0;23.0;31.0;40.0;52.0;67.0;66.0;72.0;65.0;45.0;51.0;45.0;52.0
LITHUANIA;Kybartai;26713;1961-1990;Mean Monthly Value;mm;36.0;24.0;31.0;35.0;56.0;71.0;82.0;74.0;57.0;48.0;56.0;43.0;62.0
LITHUANIA;Vilnius;26730;1961-1990;Mean Monthly Value;mm;41.0;38.0;39.0;46.0;62.0;77.0;78.0;72.0;65.0;53.0;57.0;55.0;683.0
LITHUANIA;Varena;26737;1961-1990;Mean Monthly Value;mm;41.0;28.0;37.0;44.0;62.0;75.0;84.0;69.0;63.0;51.0;53.0;51.0;62.0
