Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
POLAND;Koszalin;12105;1961-1990;Mean Monthly Value;mm;43;30;35;39;55;72;88;74;82;62;69;55;704
POLAND;Hel;12135;1961-1990;Mean Monthly Value;mm;37;28;27;30;43;56;70;72;61;48;56;46;574
POLAND;Suwalki;12195;1961-1990;Mean Monthly Value;mm;32;24;32;35;57;75;77;68;54;49;52;39;594
POLAND;Szczecin-Dabie;12205;1961-1990;Mean Monthly Value;mm;36;27;32;38;52;57;61;55;44;38;46;41;527
POLAND;Torun;12250;1961-1990;Mean Monthly Value;mm;27;23;26;30;56;78;77;60;45;39;40;35;536
POLAND;Bialystok;12295;1961-1990;Mean Monthly Value;mm;35;26;31;36;56;74;80;70;52;46;46;40;592
POLAND;Poznan-Lawica;12330;1961-1990;Mean Monthly Value;mm;30;24;27;36;53;60;69;57;43;39;39;38;515
POLAND;Warszawa-Okecie;12375;1961-1990;Mean Monthly Value;mm;22;21;26;33;58;71;69;62;43;37;41;32;515
POLAND;Zielona Gora;12400;1961-1990;Mean Monthly Value;mm;36;32;32;42;60;62;67;71;44;43;45;48;582
POLAND;Wroclaw-Strachowice;12424;1961-1990;Mean Monthly Value;mm;28;26;26;39;64;80;84;78;48;40;43;34;590
POLAND;Sniezka;12510;1961-1990;Mean Monthly Value;mm;87;91;87;104;123;141;138;132;85;76;103;96;1263
POLAND;Klodzko;12520;1961-1990;Mean Monthly Value;mm;22;24;27;35;74;91;86;88;47;36;38;26;594
POLAND;Czestochowa;12550;1961-1990;Mean Monthly Value;mm;33;30;31;39;69;80;86;76;49;40;41;38;612
POLAND;Krakow-Balice;12566;1961-1990;Mean Monthly Value;mm;34;32;34;48;83;97;85;87;54;46;45;41;686
POLAND;Sandomierz;12585;1961-1990;Mean Monthly Value;mm;29;27;27;38;61;80;86;69;43;37;37;34;568
POLAND;Zamosc;12595;1961-1990;Mean Monthly Value;mm;25;23;28;40;62;83;79;68;48;38;36;33;563
POLAND;Kasprowy Wierch;12650;1961-1990;Mean Monthly Value;mm;124;110;118;141;173;223;208;195;131;111;127;140;1801
POLAND;Przemysl;12695;1961-1990;Mean Monthly Value;mm;29;29;34;48;76;97;100;77;55;42;40;40;667
