Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
PORTUGAL;Horta;8506;1961-1990;Mean Monthly Value;mm;112.0;98.0;81.0;65.0;56.0;49.0;35.0;54.0;90.0;100.0;115.0;120.0;975.0
PORTUGAL;Ponta Delgada;8513;1961-1990;Mean Monthly Value;mm;133.0;107.0;100.0;72.0;53.0;37.0;30.0;38.0;86.0;113.0;130.0;127.0;1026.0
PORTUGAL;Santa Maria;8515;1961-1990;Mean Monthly Value;mm;100.0;86.0;79.0;55.0;30.0;22.0;25.0;40.0;57.0;84.0;102.0;95.0;775.0
PORTUGAL;Lisboa;8535;1961-1990;Mean Monthly Value;mm;110.0;111.0;69.0;64.0;39.0;21.0;5.0;6.0;26.0;80.0;114.0;108.0;753.0
PORTUGAL;Porto;8546;1961-1990;Mean Monthly Value;mm;171.0;169.0;112.0;112.0;89.0;53.0;16.0;22.0;64.0;131.0;152.0;176.0;1267.0
PORTUGAL;Coimbra;8549;1961-1990;Mean Monthly Value;mm;138.0;139.0;88.0;91.0;78.0;51.0;15.0;13.0;47.0;97.0;128.0;129.0;1014.0
PORTUGAL;Faro;8554;1965-1990;Mean Monthly Value;mm;78.0;72.0;39.0;38.0;21.0;8.0;1.0;4.0;14.0;67.0;86.0;94.0;522.0
PORTUGAL;Evora;8557;1961-1990;Mean Monthly Value;mm;88.0;86.0;57.0;56.0;38.0;29.0;8.0;4.0;27.0;69.0;80.0;85.0;627.0
PORTUGAL;Beja;8562;1961-1990;Mean Monthly Value;mm;81.0;80.0;54.0;60.0;36.0;23.0;2.0;3.0;22.0;65.0;76.0;83.0;585.0
PORTUGAL;Penhas Douradas;8568;1961-1990;Mean Monthly Value;mm;240.0;227.0;146.0;141.0;114.0;79.0;26.0;16.0;62.0;183.0;239.0;242.0;1715.0
PORTUGAL;Portalegre;8571;1961-1990;Mean Monthly Value;mm;125.0;119.0;86.0;81.0;52.0;40.0;7.0;8.0;44.0;92.0;117.0;117.0;888.0
PORTUGAL;Braganca;8575;1961-1990;Mean Monthly Value;mm;101.0;102.0;59.0;62.0;53.0;38.0;17.0;14.0;38.0;70.0;89.0;98.0;741.0
