Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
ROMANIA;Bistrita;15085;1961-1990;Mean Monthly Value;mm;46.0;31.0;34.0;57.0;76.0;97.0;87.0;68.0;43.0;41.0;47.0;50.0;677.0
ROMANIA;Iasi;15090;1961-1990;Mean Monthly Value;mm;32.0;31.0;31.0;53.0;63.0;101.0;83.0;56.0;48.0;25.0;35.0;31.0;589.0
ROMANIA;Cluj;15120;1971-1990;Mean Monthly Value;mm;24.0;20.0;22.0;48.0;69.0;95.0;81.0;60.0;36.0;31.0;30.0;32.0;548.0
ROMANIA;Timisoara;15247;1961-1990;Mean Monthly Value;mm;40.0;36.0;37.0;48.0;65.0;76.0;64.0;50.0;40.0;39.0;48.0;50.0;593.0
ROMANIA;Sibiu;15260;1961-1990;Mean Monthly Value;mm;28.0;26.0;31.0;54.0;78.0;99.0;86.0;68.0;51.0;42.0;34.0;30.0;627.0
ROMANIA;Vrfu Omu;15280;1961-1990;Mean Monthly Value;mm;69.0;66.0;67.0;86.0;118.0;140.0;144.0;114.0;64.0;53.0;57.0;75.0;1053.0
ROMANIA;Galati;15310;1961-1990;Mean Monthly Value;mm;29.0;32.0;27.0;38.0;51.0;68.0;46.0;46.0;42.0;27.0;36.0;35.0;477.0
ROMANIA;Sulina;15360;1961-1990;Mean Monthly Value;mm;19.0;22.0;15.0;19.0;26.0;29.0;26.0;28.0;33.0;16.0;22.0;26.0;281.0
ROMANIA;Bucuresti Baneasa;15420;1961-1990;Mean Monthly Value;mm;40.0;36.0;38.0;46.0;70.0;77.0;64.0;58.0;42.0;32.0;49.0;43.0;595.0
ROMANIA;Craiova;15450;1961-1990;Mean Monthly Value;mm;38.0;39.0;41.0;52.0;64.0;74.0;55.0;46.0;37.0;36.0;53.0;47.0;582.0
ROMANIA;Constanta;15480;1961-1990;Mean Monthly Value;mm;30.0;29.0;26.0;30.0;38.0;40.0;30.0;33.0;29.0;31.0;42.0;38.0;396.0
