Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
SPAIN;LA CORUNA;8001;1961-1990;Mean Monthly Value;mm;131.1;103.7;86.3;83.3;78.2;48.8;25.2;28.8;62.5;104.0;116.2;127.8;995.9
SPAIN;OVIEDO;8015;1973-1990;Mean Monthly Value;mm;91.6;91.1;86.5;112.1;100.0;55.4;55.7;49.7;51.1;93.1;93.8;91.3;971.4
SPAIN;SANTANDER;8023;1961-1990;Mean Monthly Value;mm;126.6;98.9;103.7;120.2;92.1;64.8;51.2;83.7;92.6;127.5;164.7;141.6;1267.6
SPAIN;SAN SEBASTIAN/IGUELDO;8027;1961-1990;Mean Monthly Value;mm;162.2;124.2;128.1;158.2;128.2;90.9;78.6;115.5;115.8;140.1;175.4;164.0;1581.2
SPAIN;VIGO/PEINADOR;8045;1961-1990;Mean Monthly Value;mm;285.4;258.1;183.0;154.6;137.7;75.5;38.6;31.2;112.3;203.0;203.5;269.5;1952.4
SPAIN;BURGOS/VILLAFRIA;8075;1961-1990;Mean Monthly Value;mm;55.9;50.7;44.8;64.6;65.0;42.5;27.4;24.8;39.7;45.8;62.9;48.5;572.6
SPAIN;LOGRONO/AGONCILLO;8084;1961-1990;Mean Monthly Value;mm;27.5;25.1;30.0;43.4;46.8;44.3;22.8;21.6;28.0;28.1;39.5;30.5;387.6
SPAIN;VALLADOLID;8141;1961-1990;Mean Monthly Value;mm;46.6;41.5;32.5;43.5;46.9;36.6;17.2;13.2;33.2;35.3;52.2;43.8;442.5
SPAIN;ZARAGOZA/AEROPUERTO;8160;1961-1990;Mean Monthly Value;mm;22.6;21.2;22.7;32.9;38.0;31.4;15.3;16.6;26.3;29.8;36.2;21.0;314.0
SPAIN;BARCELONA/AEROPUERTO;8181;1962-1990;Mean Monthly Value;mm;43.5;36.3;47.8;50.8;56.9;37.6;22.2;66.2;79.2;93.5;74.4;49.6;658.0
SPAIN;GERONA/COSTA BRAVA;8184;1973-1990;Mean Monthly Value;mm;61.0;49.1;54.1;73.3;87.4;62.1;38.4;54.8;58.3;79.3;81.7;46.6;746.1
SPAIN;SALAMANCA/MATACAN;8202;1961-1990;Mean Monthly Value;mm;36.5;36.2;27.7;37.4;40.3;34.8;18.2;10.0;31.9;36.2;44.6;34.7;388.5
SPAIN;MADRID/BARAJAS;8221;1961-1990;Mean Monthly Value;mm;41.7;44.5;29.7;44.7;38.6;26.2;8.7;9.2;27.8;37.8;59.1;43.9;411.9
SPAIN;MADRID;8222;1961-1990;Mean Monthly Value;mm;45.5;44.4;33.1;53.6;40.8;26.4;12.8;9.0;29.7;45.0;64.2;51.2;455.7
