Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
SWEDEN;Goteborg;2001;1961-1990;Mean Monthly Value;mm;68;41;54;42;48;59;72;74;84;87;87;75;791
SWEDEN;Visby;2002;1961-1990;Mean Monthly Value;mm;53;29;35;29;29;30;50;49;58;48;58;54;522
SWEDEN;Karesuando;2080;1961-1990;Mean Monthly Value;mm;23;19;23;23;28;42;75;63;45;44;34;24;442
SWEDEN;Stensele;2127;1961-1990;Mean Monthly Value;mm;34;25;28;26;36;54;88;65;55;42;41;35;528
SWEDEN;Gunnarn;2128;1961-1990;Mean Monthly Value;mm;36;28;31;31;39;54;85;67;56;46;48;37;559
SWEDEN;Haparanda;2196;1961-1990;Mean Monthly Value;mm;44;32;35;29;32;41;49;65;66;64;59;42;558
SWEDEN;Ostersund-Froson;2226;1961-1990;Mean Monthly Value;mm;27;21;23;28;35;57;76;60;59;37;31;31;484
SWEDEN;Ostersund;2227;1961-1990;Mean Monthly Value;mm;36;28;30;32;39;58;85;60;63;47;41;44;563
SWEDEN;Harnosand;2361;1961-1990;Mean Monthly Value;mm;50;42;46;43;45;44;58;77;81;73;79;66;703
SWEDEN;Sundsvall A;2366;1961-1990;Mean Monthly Value;mm;40;30;34;31;38;43;62;67;66;52;55;52;569
SWEDEN;Karlstad;2418;1961-1990;Mean Monthly Value;mm;43;31;37;37;42;53;62;73;70;67;71;48;635
SWEDEN;Stockholm;2485;1961-1990;Mean Monthly Value;mm;39;27;26;30;30;45;72;66;55;50;53;46;539
SWEDEN;Goteborg-Save;2512;1961-1990;Mean Monthly Value;mm;62;41;50;42;51;61;68;77;81;84;84;75;774
SWEDEN;Jonkoping A;2550;1961-1990;Mean Monthly Value;mm;48;31;38;37;46;52;73;63;71;63;66;53;641
SWEDEN;Jonkoping;2551;1961-1990;Mean Monthly Value;mm;45;31;36;34;45;51;70;64;70;57;57;50;609
SWEDEN;Visby A;2590;1961-1990;Mean Monthly Value;mm;48;28;32;29;29;31;50;50;59;50;57;51;517
