Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
INDIA;SRINAGAR;42027;1971-1990;Mean Monthly Value;mm;48.0;68.0;121.0;85.0;68.0;39.0;62.0;76.0;28.0;33.0;28.0;54.0;710.0
INDIA;AMRITSAR;42071;1971-1990;Mean Monthly Value;mm;24.0;33.0;48.0;29.0;25.0;62.0;231.0;187.0;79.0;18.0;6.0;18.0;759.0
INDIA;LUDHIANA;42099;1971-1990;Mean Monthly Value;mm;21.0;39.0;31.0;20.0;20.0;60.0;229.0;189.0;85.0;5.0;13.0;21.0;733.0
INDIA;MUKTESWAR/KUMAON;42147;1971-1990;Mean Monthly Value;mm;44.0;57.0;66.0;40.0;70.0;151.0;313.0;281.0;197.0;43.0;10.0;29.0;1327.0
INDIA;BIKANER;42165;1971-1990;Mean Monthly Value;mm;5.0;7.0;10.0;7.0;31.0;46.0;106.0;71.0;34.0;4.0;3.0;1.0;309.0
INDIA;NEW DELHI(SFD);42182;1971-1990;Mean Monthly Value;mm;19.0;20.0;15.0;21.0;25.0;70.0;237.0;235.0;113.0;17.0;9.0;9.0;795.0
INDIA;AGRA;42261;1971-1990;Mean Monthly Value;mm;9.0;12.0;10.0;10.0;16.0;67.0;196.0;227.0;113.0;27.0;3.0;5.0;661.0
INDIA;DIBRUGARH/MOHANBARI;42314;1971-1990;Mean Monthly Value;mm;29.0;52.0;87.0;247.0;247.0;392.0;546.0;429.0;354.0;143.0;19.0;24.0;2650.0
INDIA;DARBHANGA;42391;1971-1990;Mean Monthly Value;mm;13.0;14.0;9.0;29.0;76.0;139.0;353.0;254.0;193.0;73.0;6.0;7.0;116.0
INDIA;GUWAHATI;42410;1971-1990;Mean Monthly Value;mm;8.0;21.0;47.0;181.0;226.0;309.0;377.0;227.0;199.0;92.0;25.0;10.0;1704.0
INDIA;KOTA(A);42452;1971-1990;Mean Monthly Value;mm;5.0;7.0;3.0;4.0;14.0;83.0;259.0;243.0;95.0;28.0;20.0;5.0;692.0
INDIA;ALLAHABAD;42475;1976-1990;Mean Monthly Value;mm;18.0;18.0;8.0;6.0;12.0;113.0;265.0;266.0;199.0;34.0;9.0;10.0;958.0
INDIA;CHERRAPUNJI;42515;1971-1990;Mean Monthly Value;mm;11.0;46.0;240.0;938.0;1214.0;2294.0;3272.0;1760.0;1352.0;549.0;72.0;29.0;12180.0
INDIA;DALTONGANJ;42587;1971-1990;Mean Monthly Value;mm;12.0;29.0;14.0;20.0;34.0;158.0;356.0;290.0;206.0;66.0;9.0;11.0;1322.0
