Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
JAPAN;Wakkanai;47401;1961-1990;Mean Monthly Value;mm;98.1;68.1;54.3;55.1;71.0;64.9;93.0;112.1;125.9;130.4;128.1;122.8;1123.7
JAPAN;Kitamiesashi;47402;1961-1990;Mean Monthly Value;mm;93.0;65.1;77.7;63.4;79.4;77.9;100.8;144.8;148.2;131.0;139.7;116.1;1237.2
JAPAN;Haboro;47404;1961-1990;Mean Monthly Value;mm;111.7;76.6;65.9;63.5;71.4;72.6;96.6;143.6;151.3;155.5;157.0;141.4;1307.2
JAPAN;Omu;47405;1961-1990;Mean Monthly Value;mm;54.6;37.5;47.8;47.4;68.0;74.6;87.8;132.6;122.9;103.2;71.8;53.0;901.2
JAPAN;Rumoi;47406;1961-1990;Mean Monthly Value;mm;108.8;76.7;61.0;53.3;60.9;66.0;94.1;148.4;147.1;142.3;144.0;136.7;1239.3
JAPAN;Asahikawa;47407;1961-1990;Mean Monthly Value;mm;73.1;56.7;56.1;56.7;67.0;70.5;96.0;158.8;131.6;112.3;117.1;95.0;1091.0
JAPAN;Abashiri;47409;1961-1990;Mean Monthly Value;mm;65.0;33.1;57.7;50.0;63.6;75.5;76.4;104.0;97.1;77.8;63.9;51.3;815.3
JAPAN;Otaru;47411;1961-1990;Mean Monthly Value;mm;131.6;101.2;80.7;61.2;58.1;58.5;75.1;125.4;133.3;140.9;131.7;128.0;1225.7
JAPAN;Sapporo;47412;1961-1990;Mean Monthly Value;mm;107.6;94.1;81.8;62.3;54.8;66.4;68.7;142.0;137.7;115.6;98.5;100.1;1129.6
JAPAN;Iwamizawa;47413;1961-1990;Mean Monthly Value;mm;111.5;86.8;59.0;63.4;70.3;76.0;95.3;156.4;131.4;110.2;116.6;127.4;1204.4
JAPAN;Obihiro;47417;1961-1990;Mean Monthly Value;mm;40.3;37.4;55.9;61.1;71.5;97.7;91.0;136.3;124.0;89.5;72.1;40.4;917.4
JAPAN;Kushiro;47418;1961-1990;Mean Monthly Value;mm;42.5;38.6;62.3;83.8;103.3;121.5;110.1;118.3;135.5;108.7;72.7;45.3;1042.5
JAPAN;Nemuro;47420;1961-1990;Mean Monthly Value;mm;46.2;33.4;64.0;84.1;100.3;103.8;102.4;113.7;140.3;117.1;80.6;49.6;1035.4
JAPAN;Suttsu;47421;1961-1990;Mean Monthly Value;mm;101.1;79.3;62.6;66.3;64.6;59.8;98.5;138.0;148.7;139.3;137.0;118.8;1218.0
JAPAN;Muroran;47423;1961-1990;Mean Monthly Value;mm;57.8;47.4;58.2;83.4;91.7;121.9;153.6;192.3;164.0;96.5;86.3;57.8;1210.8
