Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual 
RUSSIAN FEDERATION (ASIA);KRENKEL POLAR (ISL);20046;1961-1990;Mean Monthly Value;mm;31.3;31.2;26.2;16.0;16.8;15.0;25.6;25.2;27.9;25.5;25.7;26.5;292.9
RUSSIAN FEDERATION (ASIA);VIZE ISLAND;20069;1961-1990;Mean Monthly Value;mm;14.4;13.5;13.8;8.9;10.9;11.5;24.3;28.0;22.6;22.6;13.2;15.5;199.2
RUSSIAN FEDERATION (ASIA);UJEDINENIJA ISLAND;20274;1961-1990;Mean Monthly Value;mm;12.7;11.0;11.6;7.1;10.2;14.8;28.8;28.6;23.6;20.0;12.6;13.2;194.2
RUSSIAN FEDERATION (ASIA);CAPE CELJUSKIN/FEDO;20292;1961-1990;Mean Monthly Value;mm;17.0;18.0;16.5;13.0;14.7;22.8;30.6;30.3;28.2;24.1;13.0;18.5;246.7
RUSSIAN FEDERATION (ASIA);DIKSON ISLAND;20674;1961-1990;Mean Monthly Value;mm;37.4;27.5;23.3;18.6;19.8;29.6;38.9;43.0;43.3;30.4;22.8;31.3;365.9
RUSSIAN FEDERATION (ASIA);MALYE KARMAKULY;20744;1961-1990;Mean Monthly Value;mm;40.1;31.0;29.0;23.6;24.8;27.1;41.0;49.5;47.3;42.5;31.7;31.7;419.3
RUSSIAN FEDERATION (ASIA);HATANGA;20891;1961-1990;Mean Monthly Value;mm;12.5;12.6;15.2;14.3;16.2;31.8;32.0;32.9;34.1;27.5;20.8;20.2;270.1
RUSSIAN FEDERATION (ASIA);KOTEL'NYJ ISLAND;21432;1961-1990;Mean Monthly Value;mm;7.0;7.3;7.9;8.2;13.3;17.3;31.5;26.6;18.4;16.0;9.1;8.7;171.3
RUSSIAN FEDERATION (ASIA);CAPE SALAUROVA;21647;1961-1990;Mean Monthly Value;mm;8.8;6.9;6.4;6.5;14.3;17.1;24.6;24.8;19.9;17.5;12.6;8.9;168.3
RUSSIAN FEDERATION (ASIA);COKURDAH;21946;1961-1990;Mean Monthly Value;mm;13.5;11.8;8.4;8.4;12.0;29.3;37.1;33.5;24.9;24.4;17.3;12.2;232.8
RUSSIAN FEDERATION (ASIA);CETYREHSTOLBOVOJ IL;21965;1961-1990;Mean Monthly Value;mm;9.0;6.7;4.5;5.0;6.3;10.0;20.0;21.1;16.1;14.7;11.5;7.4;132.3
RUSSIAN FEDERATION (ASIA);VRANGELJA ISLAND;21982;1961-1990;Mean Monthly Value;mm;16.1;9.0;9.3;8.3;8.0;12.5;22.5;28.2;21.6;14.7;16.5;10.5;177.2
RUSSIAN FEDERATION (ASIA);DUDINKA;23074;1961-1990;Mean Monthly Value;mm;41.1;34.9;36.5;33.6;29.3;40.2;45.3;53.9;58.0;56.6;49.1;50.1;528.6
RUSSIAN FEDERATION (ASIA);CAPE KAMENNYJ;23146;1961-1990;Mean Monthly Value;mm;26.5;20.7;20.6;23.1;23.0;34.8;42.9;60.4;52.7;35.6;26.7;26.1;393.1
RUSSIAN FEDERATION (ASIA);NAR'JAN-MAR;23205;1961-1990;Mean Monthly Value;mm;25.8;21.2;20.2;23.3;31.3;40.1;48.2;62.6;51.4;43.9;37.0;30.0;435.0
RUSSIAN FEDERATION (ASIA);HOSEDA-HARD;23219;1961-1990;Mean Monthly Value;mm;29.6;23.1;21.8;20.8;30.7;41.4;54.4;67.8;56.4;45.2;34.6;29.1;454.9
RUSSIAN FEDERATION (ASIA);SALEHARD;23330;1961-1990;Mean Monthly Value;mm;21.5;18.0;18.8;23.7;32.1;51.5;69.5;61.6;49.7;39.1;27.5;24.5;437.5
RUSSIAN FEDERATION (ASIA);UST-CILMA;23405;1961-1990;Mean Monthly Value;mm;34.9;27.6;29.0;32.8;44.1;53.8;66.0;69.4;60.1;59.5;45.6;42.7;565.5
RUSSIAN FEDERATION (ASIA);PECORA;23418;1961-1990;Mean Monthly Value;mm;40.3;31.1;29.9;32.8;37.7;48.3;60.4;76.5;65.2;59.5;52.0;44.8;578.5
RUSSIAN FEDERATION (ASIA);TURUHANSK;23472;1961-1990;Mean Monthly Value;mm;35.2;23.6;30.7;30.6;32.0;48.6;61.6;68.5;67.5;65.2;46.9;42.7;553.1
RUSSIAN FEDERATION (ASIA);TARKO-SALE;23552;1961-1990;Mean Monthly Value;mm;27.3;19.8;24.5;26.2;36.3;50.2;63.1;64.0;60.1;48.0;39.3;30.8;489.6
RUSSIAN FEDERATION (ASIA);BEREZOVO;23631;1961-1990;Mean Monthly Value;mm;26.7;20.7;22.8;32.6;41.5;64.9;68.1;73.3;61.1;48.9;39.4;30.9;530.9
RUSSIAN FEDERATION (ASIA);TROICKO-PECERSKOE;23711;1961-1990;Mean Monthly Value;mm;43.9;30.3;32.2;37.8;49.6;61.1;72.1;77.7;63.4;67.2;57.4;51.2;643.9
RUSSIAN FEDERATION (ASIA);NJAKSIMVOL';23724;1961-1990;Mean Monthly Value;mm;29.2;20.4;22.2;35.2;48.2;62.9;76.7;76.8;60.8;50.6;40.2;32.9;556.1
RUSSIAN FEDERATION (ASIA);SYKTYVKAR;23804;1961-1990;Mean Monthly Value;mm;32.1;24.6;26.0;32.8;41.3;59.7;80.8;59.6;55.5;56.5;47.5;38.2;554.6
RUSSIAN FEDERATION (ASIA);BOR;23884;1961-1990;Mean Monthly Value;mm;38.7;24.4;25.8;31.7;48.5;59.6;66.6;67.8;65.6;59.4;59.2;47.0;594.3
RUSSIAN FEDERATION (ASIA);BAJKIT;23891;1961-1990;Mean Monthly Value;mm;27.7;19.8;21.3;27.1;42.4;50.3;53.0;83.2;59.0;50.6;49.5;34.1;518.0
