Country or Territory;Station Name;WMO Station Number;National Station Id Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
UNITED STATES OF AMERICA;BARROW/W. POST W. ROGERS, AK;70026;500546;1961-1990;Mean Monthly Value;mm;4.3;3.8;4.3;5.1;4.1;7.1;23.9;24.4;15.2;11.4;6.4;4.1;114.1
UNITED STATES OF AMERICA;KOTZEBUE/RALPH WIEN, AK;70133;505076;1961-1990;Mean Monthly Value;mm;10.9;8.1;8.9;9.4;8.4;13.2;37.1;45.2;40.1;18.5;15.0;13.2;228.0
UNITED STATES OF AMERICA;BETTLES/FIELD AK;70174;500761;1961-1990;Mean Monthly Value;mm;17.5;16.3;17.3;16.3;15.5;36.6;49.3;60.5;43.7;30.5;22.9;22.9;349.3
UNITED STATES OF AMERICA;NOME, AK;70200;506496;1961-1990;Mean Monthly Value;mm;20.1;15.2;13.7;17.3;15.7;28.4;55.1;68.8;61.7;34.3;26.4;21.1;377.8
UNITED STATES OF AMERICA;BETHEL/BETHEL AIRPORT, AK;70219;500754;1961-1990;Mean Monthly Value;mm;14.7;10.9;15.0;17.8;19.8;36.6;50.3;73.9;51.8;36.8;27.2;25.9;380.7
UNITED STATES OF AMERICA;MC GRATH/ARPT AK;70231;505769;1961-1990;Mean Monthly Value;mm;19.0;16.8;20.3;20.8;22.1;37.3;52.1;62.7;50.3;35.6;32.8;35.6;405.4
UNITED STATES OF AMERICA;TALKEETNA, AK;70251;508976;1961-1990;Mean Monthly Value;mm;33.0;36.6;37.1;40.4;42.4;66.8;92.2;114.8;107.4;78.7;43.9;48.5;741.8
UNITED STATES OF AMERICA;FAIRBANKS/INTL, AK;70261;502968;1961-1990;Mean Monthly Value;mm;11.9;10.2;9.4;8.1;15.5;34.8;47.5;49.8;24.1;22.9;20.3;21.6;276.1
UNITED STATES OF AMERICA;BIG DELTA/ALLEN AAF AK;70267;500770;1961-1990;Mean Monthly Value;mm;8.4;7.1;6.4;7.4;23.4;65.0;69.1;48.8;26.9;18.0;13.2;10.2;303.9
UNITED STATES OF AMERICA;GULKANA/INTERMEDIATE FIELD AK;70271;503465;1961-1990;Mean Monthly Value;mm;11.4;13.5;9.1;6.1;15.5;40.6;45.2;38.1;35.1;22.6;15.5;23.4;276.1
UNITED STATES OF AMERICA;ANCHORAGE/INTL, AK;70273;500280;1961-1990;Mean Monthly Value;mm;20.1;19.8;17.5;17.0;18.5;29.0;43.4;62.0;68.6;51.6;28.2;28.4;404.1
UNITED STATES OF AMERICA;VALDEZ, AK;70275;509686;1961-1990;Mean Monthly Value;mm;142.2;130.3;119.4;80.3;97.3;78.2;97.5;151.4;212.6;205.0;139.7;172.7;1626.6
UNITED STATES OF AMERICA;ST PAUL ISLAND/ARPT AK;70308;508118;1961-1990;Mean Monthly Value;mm;47.0;33.8;31.0;34.0;32.5;31.2;48.3;69.8;65.8;71.4;71.1;56.4;592.3
UNITED STATES OF AMERICA;COLD BAY, AK;70316;502102;1961-1990;Mean Monthly Value;mm;72.1;57.7;54.9;50.0;58.2;53.3;64.0;82.3;112.0;110.2;106.4;93.2;914.3
UNITED STATES OF AMERICA;KING SALMON, AK;70326;504766;1961-1990;Mean Monthly Value;mm;26.7;20.6;27.2;28.7;34.0;40.1;56.6;74.9;69.6;52.6;37.6;34.8;503.4
UNITED STATES OF AMERICA;HOMER/ARPT AK;70341;503665;1961-1990;Mean Monthly Value;mm;61.0;54.1;43.2;32.5;29.2;26.2;37.8;56.9;83.6;82.3;66.5;71.6;644.9
UNITED STATES OF AMERICA;KODIAK/U S C G BASE AK;70350;504988;1961-1990;Mean Monthly Value;mm;187.5;134.1;117.6;106.7;140.2;121.4;94.0;130.8;177.5;182.4;151.4;173.0;1716.6
UNITED STATES OF AMERICA;YAKUTAT/STATE ARPT AK;70361;509941;1961-1990;Mean Monthly Value;mm;309.4;271.0;272.3;252.0;245.4;185.4;207.8;293.1;473.7;583.4;368.8;379.5;3841.8
UNITED STATES OF AMERICA;JUNEAU, AK;70381;504100;1961-1990;Mean Monthly Value;mm;115.3;95.3;83.3;70.4;86.9;80.0;105.7;135.1;170.9;199.1;124.7;112.8;1379.5
UNITED STATES OF AMERICA;ANNETTE/WSO AIRPORT AK;70398;500352;1961-1990;Mean Monthly Value;mm;255.8;223.3;200.4;197.9;153.2;118.6;108.5;156.2;235.7;392.9;296.4;284.5;2623.4
UNITED STATES OF AMERICA;GAINESVILLE LOCK, AL;72000;13160;1961-1990;Mean Monthly Value;mm;135.9;128.8;161.5;142.2;108.7;92.5;112.3;76.5;84.1;77.2;102.9;138.7;1361.3
