Country;Annual;March;April;May;
Austria;1105.28;76.0;88.57;105.57;
Belgium;821.1;73.3;57.2;70.3;
Bulgaria;528.0;39.29;47.71;55.71;
Chech Republic;569.48;30.65;40.1;71.33;
Croatia;853.7;66.7;65.05;69.6;
Cyprus;320.0;42.0;12.0;9.0;
Denmark;707.0;45.37;40.71;47.74;
Estonia;612.33;28.33;33.0;40.67;
Finland;575.42;29.33;31.33;35.83;
France;736.73;60.02;56.2;65.81;
Germany;825.95;58.79;62.89;75.89;
Greece;623.98;64.29;44.07;33.33;
Hungary;560.57;42.43;60.86;32.86;
Ireland;1006.73;80.91;58.82;66.91;
Italy;778.7;64.92;64.66;75.47;
Latvia;666.0;33.8;39.0;45.8;
Lithuania;236.29;40.29;50.64;37.36;
Luxemburg;875.5;70.0;61.2;81.2;
Malta;553.3;40.9;22.5;06.6;
Netherlands;772.06;58.68;48.46;54.64;
Poland;693.5;37.78;47.28;70.83;
Portugal;907.33;80.83;74.75;54.92;
Romania;583.45;33.55;48.27;65.27;
Slovakia;595.73;31.87;43.17;64.27;
Slovenia;1393.1;97.7;109.4;121.5;
Spain;626.49;60.06;62.05;59.97;
Sweden;589.63;34.88;32.69;38.25;
;708.05;52.01;51.36;58.92;
